[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1557464550.098000 5/10/2019, 2:02:30 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: 190519_PlatedSn_onSi_3.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1557464550.098,,1.000000e+001,1.813778e+000,1.030975e-006,1.576915e-008,-6.576920e-002,5.809921e-003,3,9.043399e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,2.334952e-003,0,,0,
1557464672.108,,1.000000e+001,1.983249e+000,1.037894e-006,2.584999e-008,-6.523035e-002,7.990951e-003,3,9.071503e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,1.452420e-001,0,,0,
1557464731.588,,1.000000e+001,2.207078e+000,1.003761e-006,2.123711e-008,-7.450493e-002,7.434784e-003,3,9.033430e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,2.768121e-001,0,,0,
1557464792.098,,1.000000e+001,2.472228e+000,1.025085e-006,2.944844e-008,-6.819779e-002,7.380340e-003,3,9.037519e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,2.163682e-001,0,,0,
1557464852.928,,1.000000e+001,2.680698e+000,1.012905e-006,2.103014e-008,-6.555130e-002,1.152041e-002,3,9.008272e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,1.975241e-001,0,,0,
1557464913.198,,1.000000e+001,2.876538e+000,1.014857e-006,3.580729e-008,-7.029842e-002,7.197752e-003,3,9.034348e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,1.827881e-001,0,,0,
1557465019.618,,1.000000e+001,3.004644e+000,1.018435e-006,3.022324e-008,-5.943872e-002,3.978262e-003,3,8.872519e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,5.362511e-002,0,,0,
1557465080.468,,1.000000e+001,3.000663e+000,1.012842e-006,2.691479e-008,-7.010898e-002,6.128300e-003,3,8.870165e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,2.984047e-003,0,,0,
1557465141.028,,1.000000e+001,3.001115e+000,9.976550e-007,2.475223e-008,-6.856392e-002,1.031585e-002,3,9.061309e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,1.624107e-003,0,,0,
1557465200.838,,1.000000e+001,3.001027e+000,1.023188e-006,2.049282e-008,-6.427234e-002,1.205322e-002,3,8.899677e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,9.431839e-004,0,,0,
1557465260.659,,1.000000e+001,3.000405e+000,1.029192e-006,1.347562e-008,-6.924872e-002,9.075604e-003,3,9.045341e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,1.676083e-003,0,,0,
1557465321.439,,1.000000e+001,3.000117e+000,1.015950e-006,2.101380e-008,-6.800466e-002,5.436298e-003,3,9.023708e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,1.465082e-003,0,,0,
1557465380.479,,1.000000e+001,3.000290e+000,1.020345e-006,2.627892e-008,-6.717314e-002,1.280266e-002,3,9.048600e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,4,8,9.951591e-004,0,,0,
