[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1557466750.483000 5/10/2019, 2:39:10 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: 190519_PlatedSn_onSi_4_SweepH.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1557466750.483,,0.000000e+000,1.808201e+000,8.610123e-007,3.003098e-008,-9.383364e-002,2.649957e-003,3,8.409538e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.292991e-003,0,,0,
1557466832.473,,1.515152e-001,1.806345e+000,8.289345e-007,9.909278e-009,-7.005101e-002,3.105480e-002,3,8.541691e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,3.463984e-003,0,,0,
1557466910.513,,3.030303e-001,1.804037e+000,7.854916e-007,2.174805e-008,-8.955987e-002,8.184907e-003,3,8.571430e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.870083e-003,0,,0,
1557466996.233,,4.545455e-001,1.803413e+000,8.469380e-007,4.912744e-008,-6.875537e-002,2.083188e-002,3,8.821592e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,3.569007e-003,0,,0,
1557467079.373,,6.060606e-001,1.801990e+000,8.461417e-007,2.046524e-008,-7.223539e-002,1.058970e-002,3,8.871138e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.578020e-003,0,,0,
1557467162.623,,7.575758e-001,1.800065e+000,8.809950e-007,4.184623e-008,-7.482690e-002,5.300957e-003,3,8.491681e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.868010e-003,0,,0,
1557467245.393,,9.090909e-001,1.800349e+000,8.871369e-007,2.116889e-008,-7.581069e-002,5.825664e-003,3,8.756795e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.815081e-003,0,,0,
1557467329.153,,1.060606e+000,1.801259e+000,8.374025e-007,2.747156e-008,-1.003518e-001,2.282025e-003,3,8.728504e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,3.008962e-003,0,,0,
1557467412.644,,1.212121e+000,1.798987e+000,8.279606e-007,2.379426e-008,-7.392451e-002,8.330025e-003,3,8.639673e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.080990e-003,0,,0,
1557467498.384,,1.363636e+000,1.799541e+000,8.415668e-007,5.949611e-009,-6.454121e-002,1.856325e-002,3,8.506783e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.006054e-003,0,,0,
1557467581.104,,1.515152e+000,1.799737e+000,8.264611e-007,2.835299e-008,-6.844847e-002,1.053453e-002,3,8.629837e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.675010e-003,0,,0,
1557467665.114,,1.666667e+000,1.799785e+000,8.084249e-007,1.098874e-008,-7.903673e-002,1.686169e-003,3,8.480276e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.866937e-003,0,,0,
1557467755.084,,1.818182e+000,1.798456e+000,8.806603e-007,2.799055e-008,-8.275598e-002,1.664193e-002,3,8.435274e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.461983e-003,0,,0,
1557467830.084,,1.969697e+000,1.798048e+000,8.635545e-007,4.860331e-008,-6.998916e-002,3.572699e-003,3,8.595121e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.747059e-003,0,,0,
1557467921.304,,2.121212e+000,1.801985e+000,8.722967e-007,2.894581e-008,-7.364941e-002,2.432136e-002,3,8.805113e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.894951e-003,0,,0,
1557467999.026,,2.272727e+000,1.801871e+000,8.249799e-007,1.881856e-008,-7.442383e-002,2.732255e-002,3,8.379171e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.402020e-003,0,,0,
1557468088.547,,2.424242e+000,1.798979e+000,8.371129e-007,1.091763e-008,-1.036974e-001,7.055463e-002,3,8.458024e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.021074e-003,0,,0,
1557468171.957,,2.575758e+000,1.797630e+000,8.702568e-007,6.604871e-008,-6.927642e-002,4.401553e-004,3,8.548690e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.407981e-003,0,,0,
1557468255.777,,2.727273e+000,1.800873e+000,8.842906e-007,9.914977e-008,-5.913659e-002,7.636801e-003,3,8.432779e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.099991e-003,0,,0,
1557468339.747,,2.878788e+000,1.801324e+000,8.557832e-007,3.013902e-008,-8.556233e-002,2.938173e-003,3,8.734554e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.451969e-003,0,,0,
1557468424.747,,3.030303e+000,1.798744e+000,8.746848e-007,9.632138e-009,-7.115494e-002,2.498413e-003,3,8.796327e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.183987e-003,0,,0,
1557468509.237,,3.181818e+000,1.801783e+000,8.903758e-007,4.616190e-008,-7.284978e-002,1.209450e-002,3,8.582706e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.313972e-003,0,,0,
1557468608.717,,3.333333e+000,1.803838e+000,8.855311e-007,5.881642e-009,-7.206775e-002,9.470196e-003,3,8.385461e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,6.339550e-004,0,,0,
1557468711.217,,3.484848e+000,1.798478e+000,8.793103e-007,1.761124e-008,-5.732653e-002,1.202110e-002,3,8.870748e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,9.220839e-004,0,,0,
1557468812.838,,3.636364e+000,1.799619e+000,8.789353e-007,1.413841e-008,-7.998660e-002,1.967387e-002,3,8.836489e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.063943e-003,0,,0,
1557468906.810,,3.787879e+000,1.799241e+000,8.759750e-007,7.890882e-008,-8.401218e-002,1.928719e-002,3,8.632655e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.912998e-003,0,,0,
1557469002.104,,3.939394e+000,1.800148e+000,9.561443e-007,1.057725e-007,-5.935393e-002,8.015830e-004,3,7.517127e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.536012e-003,0,,0,
1557469103.084,,4.090909e+000,1.799981e+000,9.028682e-007,2.173237e-008,-7.333335e-002,1.359447e-004,3,8.422086e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,2.450943e-004,0,,0,
1557469201.744,,4.242424e+000,1.799672e+000,8.644336e-007,7.161599e-008,-8.818709e-002,3.299579e-002,3,8.542411e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,7.849932e-004,0,,0,
1557469296.518,,4.393939e+000,1.798487e+000,8.623304e-007,4.440730e-008,-6.063733e-002,1.824898e-002,3,8.397456e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.652956e-003,0,,0,
1557469396.858,,4.545455e+000,1.800090e+000,8.727154e-007,5.523241e-008,-8.492705e-002,8.857203e-003,3,8.250929e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,6.459951e-004,0,,0,
1557469490.313,,4.696970e+000,1.798139e+000,8.548593e-007,6.702009e-009,-7.004774e-002,1.300858e-002,3,8.314637e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.860023e-003,0,,0,
1557469586.117,,4.848485e+000,1.797791e+000,9.272496e-007,3.632703e-008,-6.935619e-002,2.474222e-002,3,8.656636e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.113057e-003,0,,0,
1557469686.931,,5.000000e+000,1.800226e+000,8.816974e-007,2.394109e-008,-7.545068e-002,2.164342e-002,3,8.459426e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.500000e+000,2,2,1.605988e-003,0,,0,
