Sample SnGe_sample2_pested
Comments 
Filename C:\WINDMAX\DATA\KAGAWALAB\181122_sample2_pested.raw
Goniometer TTRáV êÖïΩ∫ﬁ∆µ“∞¿(Tsé≤éËìÆ,ADS)
Attachment ïWèÄééóøŒŸ¿ﬁ∞
Monochromater å≈íË”…∏€“∞¿
ScanningMode 2Theta/Theta
ScanningType Continuos Scanning
X-Ray 40kV/300mA
î≠éUΩÿØƒ 2/3Åã
î≠éUècêßå¿ΩÿØƒ 10mm
éUóêΩÿØƒ 2/3Åã
éÛåıΩÿØƒ 0.3mm
±Ø√»∞¿ äJï˙
”…∏€éÛåıΩÿØƒ 0.8mm
Start 10
Stop 90
Step 0.02
10 259
10.02 277
10.04 296
10.06 265
10.08 277
10.1 273
10.12 289
10.14 254
10.16 255
10.18 279
10.2 242
10.22 291
10.24 273
10.26 271
10.28 269
10.3 264
10.32 261
10.34 263
10.36 281
10.38 264
10.4 267
10.42 252
10.44 272
10.46 287
10.48 263
10.5 286
10.52 262
10.54 271
10.56 296
10.58 272
10.6 274
10.62 248
10.64 260
10.66 265
10.68 290
10.7 246
10.72 265
10.74 287
10.76 258
10.78 295
10.8 241
10.82 245
10.84 256
10.86 271
10.88 272
10.9 249
10.92 281
10.94 278
10.96 265
10.98 320
11 280
11.02 255
11.04 245
11.06 248
11.08 270
11.1 258
11.12 284
11.14 245
11.16 254
11.18 260
11.2 267
11.22 273
11.24 278
11.26 276
11.28 257
11.3 243
11.32 271
11.34 266
11.36 265
11.38 280
11.4 211
11.42 261
11.44 272
11.46 251
11.48 267
11.5 274
11.52 265
11.54 255
11.56 234
11.58 245
11.6 260
11.62 269
11.64 265
11.66 250
11.68 247
11.7 256
11.72 272
11.74 274
11.76 252
11.78 241
11.8 252
11.82 237
11.84 231
11.86 248
11.88 273
11.9 224
11.92 253
11.94 245
11.96 257
11.98 271
12 250
12.02 242
12.04 257
12.06 223
12.08 241
12.1 241
12.12 224
12.14 262
12.16 258
12.18 233
12.2 271
12.22 226
12.24 258
12.26 277
12.28 253
12.3 265
12.32 251
12.34 251
12.36 234
12.38 244
12.4 240
12.42 232
12.44 263
12.46 248
12.48 263
12.5 255
12.52 268
12.54 225
12.56 264
12.58 252
12.6 247
12.62 252
12.64 270
12.66 251
12.68 239
12.7 261
12.72 247
12.74 239
12.76 253
12.78 285
12.8 250
12.82 261
12.84 269
12.86 253
12.88 254
12.9 249
12.92 244
12.94 241
12.96 261
12.98 260
13 263
13.02 278
13.04 256
13.06 263
13.08 239
13.1 233
13.12 246
13.14 275
13.16 266
13.18 275
13.2 281
13.22 295
13.24 293
13.26 292
13.28 308
13.3 318
13.32 291
13.34 261
13.36 289
13.38 321
13.4 274
13.42 315
13.44 319
13.46 316
13.48 326
13.5 332
13.52 364
13.54 390
13.56 360
13.58 380
13.6 398
13.62 444
13.64 436
13.66 452
13.68 493
13.7 525
13.72 491
13.74 534
13.76 544
13.78 563
13.8 598
13.82 601
13.84 622
13.86 679
13.88 669
13.9 733
13.92 686
13.94 768
13.96 843
13.98 825
14 872
14.02 891
14.04 902
14.06 839
14.08 929
14.1 843
14.12 813
14.14 785
14.16 712
14.18 601
14.2 592
14.22 558
14.24 510
14.26 451
14.28 408
14.3 466
14.32 422
14.34 403
14.36 356
14.38 342
14.4 324
14.42 302
14.44 301
14.46 294
14.48 249
14.5 215
14.52 262
14.54 270
14.56 220
14.58 222
14.6 261
14.62 228
14.64 189
14.66 220
14.68 215
14.7 205
14.72 172
14.74 196
14.76 199
14.78 189
14.8 180
14.82 156
14.84 179
14.86 157
14.88 169
14.9 186
14.92 173
14.94 156
14.96 154
14.98 155
15 167
15.02 145
15.04 163
15.06 128
15.08 148
15.1 156
15.12 160
15.14 132
15.16 129
15.18 144
15.2 134
15.22 124
15.24 128
15.26 172
15.28 124
15.3 146
15.32 123
15.34 135
15.36 129
15.38 107
15.4 153
15.42 133
15.44 136
15.46 128
15.48 128
15.5 135
15.52 119
15.54 129
15.56 121
15.58 111
15.6 127
15.62 119
15.64 113
15.66 128
15.68 93
15.7 139
15.72 106
15.74 118
15.76 109
15.78 115
15.8 114
15.82 105
15.84 103
15.86 107
15.88 119
15.9 102
15.92 117
15.94 117
15.96 105
15.98 98
16 105
16.02 126
16.04 97
16.06 114
16.08 120
16.1 103
16.12 104
16.14 126
16.16 103
16.18 111
16.2 108
16.22 109
16.24 91
16.26 116
16.28 104
16.3 93
16.32 95
16.34 105
16.36 113
16.38 111
16.4 108
16.42 94
16.44 106
16.46 115
16.48 93
16.5 106
