Sample Si_wefer-2
Comments rapid
Filename C:\Windmax\Data\shimano\XRD20190306\Si_wefer2_20190122.raw
Goniometer TTRáV êÖïΩ∫ﬁ∆µ“∞¿(Tsé≤éËìÆ,ADS)
Attachment ïWèÄééóøŒŸ¿ﬁ∞
Monochromater å≈íË”…∏€“∞¿
ScanningMode 2Theta/Theta
ScanningType Continuos Scanning
X-Ray 40kV/300mA
î≠éUΩÿØƒ 2/3Åã
î≠éUècêßå¿ΩÿØƒ 2mm
éUóêΩÿØƒ 2/3Åã
éÛåıΩÿØƒ 0.3mm
±Ø√»∞¿ äJï˙
”…∏€éÛåıΩÿØƒ 0.8mm
Start 10
Stop 90
Step 0.02
10 28
10.02 36
10.04 38
10.06 29
10.08 32
10.1 40
10.12 38
10.14 32
10.16 27
10.18 25
10.2 32
10.22 27
10.24 29
10.26 25
10.28 25
10.3 44
10.32 37
10.34 27
10.36 25
10.38 29
10.4 35
10.42 31
10.44 26
10.46 24
10.48 21
10.5 25
10.52 25
10.54 32
10.56 24
10.58 33
10.6 32
10.62 28
10.64 28
10.66 34
10.68 34
10.7 35
10.72 36
10.74 27
10.76 30
10.78 23
10.8 35
10.82 24
10.84 36
10.86 17
10.88 34
10.9 28
10.92 35
10.94 27
10.96 34
10.98 32
11 22
11.02 30
11.04 29
11.06 21
11.08 25
11.1 27
11.12 30
11.14 21
11.16 20
11.18 34
11.2 30
11.22 32
11.24 30
11.26 31
11.28 34
11.3 22
11.32 28
11.34 27
11.36 22
11.38 21
11.4 25
11.42 24
11.44 25
11.46 26
11.48 28
11.5 31
11.52 22
11.54 31
11.56 21
11.58 28
11.6 13
11.62 35
11.64 33
11.66 35
11.68 29
11.7 36
11.72 30
11.74 18
11.76 34
11.78 29
11.8 35
11.82 26
11.84 22
11.86 20
11.88 23
11.9 21
11.92 25
11.94 18
11.96 22
11.98 21
12 24
12.02 31
12.04 19
12.06 22
12.08 33
12.1 30
12.12 23
12.14 27
12.16 19
12.18 28
12.2 27
12.22 29
12.24 27
12.26 30
12.28 20
12.3 21
12.32 21
12.34 29
12.36 29
12.38 22
12.4 26
12.42 21
12.44 33
12.46 21
12.48 27
12.5 19
12.52 28
12.54 24
12.56 26
12.58 19
12.6 21
12.62 28
12.64 23
12.66 29
12.68 16
12.7 24
12.72 31
12.74 22
12.76 22
12.78 18
12.8 18
12.82 23
12.84 17
12.86 22
12.88 23
12.9 32
12.92 22
12.94 26
12.96 24
12.98 22
13 25
13.02 16
13.04 26
13.06 24
13.08 31
13.1 32
13.12 32
13.14 29
13.16 27
13.18 27
13.2 31
13.22 23
13.24 21
13.26 21
13.28 19
13.3 28
13.32 31
13.34 31
13.36 24
13.38 28
13.4 30
13.42 25
13.44 22
13.46 16
13.48 20
13.5 26
13.52 22
13.54 20
13.56 29
13.58 29
13.6 27
13.62 21
13.64 24
13.66 28
13.68 23
13.7 24
13.72 24
13.74 23
13.76 27
13.78 22
13.8 23
13.82 26
13.84 22
13.86 23
13.88 28
13.9 24
13.92 33
13.94 33
13.96 19
13.98 39
14 15
14.02 18
14.04 24
14.06 21
14.08 29
14.1 25
14.12 30
14.14 21
14.16 16
14.18 30
14.2 16
14.22 26
14.24 16
14.26 24
14.28 18
14.3 24
14.32 22
14.34 31
14.36 22
14.38 20
14.4 19
14.42 20
14.44 16
14.46 19
14.48 18
14.5 25
14.52 22
14.54 17
14.56 18
14.58 20
14.6 18
14.62 24
14.64 26
14.66 29
14.68 21
14.7 21
14.72 22
14.74 35
14.76 20
14.78 24
14.8 21
14.82 26
14.84 28
14.86 25
14.88 27
14.9 21
14.92 29
14.94 23
14.96 16
14.98 23
15 26
15.02 17
15.04 23
15.06 21
15.08 17
15.1 31
15.12 14
15.14 21
15.16 17
15.18 26
15.2 23
15.22 17
15.24 24
15.26 33
15.28 24
15.3 19
15.32 33
15.34 22
15.36 21
15.38 21
15.4 14
15.42 16
15.44 24
15.46 25
15.48 21
15.5 18
15.52 23
15.54 21
15.56 34
15.58 22
15.6 19
15.62 22
15.64 22
15.66 30
15.68 24
15.7 31
15.72 25
15.74 12
15.76 22
15.78 17
15.8 22
15.82 22
15.84 21
15.86 22
15.88 23
15.9 16
15.92 15
15.94 22
15.96 20
15.98 19
16 17
16.02 13
16.04 27
16.06 22
16.08 32
16.1 28
16.12 28
16.14 18
16.16 23
16.18 23
16.2 18
16.22 23
16.24 12
16.26 20
16.28 21
16.3 23
16.32 23
16.34 20
16.36 17
16.38 19
16.4 21
16.42 21
16.44 19
16.46 22
16.48 29
16.5 22
16.52 18
16.54 26
16.56 19
16.58 19
16.6 18
16.62 28
16.64 18
16.66 22
16.68 17
16.7 18
16.72 23
16.74 27
16.76 24
16.78 19
16.8 15
16.82 21
16.84 21
16.86 21
16.88 24
16.9 23
16.92 18
16.94 18
16.96 22
16.98 20
17 28
17.02 26
17.04 26
17.06 39
17.08 23
17.1 15
17.12 21
17.14 22
17.16 16
17.18 25
17.2 23
17.22 15
17.24 23
17.26 23
17.28 30
17.3 18
17.32 22
17.34 23
17.36 18
17.38 19
17.4 33
17.42 18
17.44 17
17.46 22
17.48 23
17.5 21
17.52 17
17.54 21
17.56 20
17.58 22
17.6 16
17.62 18
17.64 18
17.66 17
17.68 23
17.7 22
17.72 23
17.74 22
17.76 23
17.78 17
17.8 19
17.82 24
17.84 21
17.86 24
17.88 24
17.9 31
17.92 19
17.94 23
17.96 17
17.98 22
18 23
18.02 16
18.04 22
18.06 22
18.08 24
18.1 27
18.12 22
18.14 29
