Sample Si_wefer
Comments rapid
Filename C:\WINDMAX\DATA\SHIMANO\XRD20190306\Si_wefer_20190122.raw
Goniometer TTRáV êÖïΩ∫ﬁ∆µ“∞¿(Tsé≤éËìÆ,ADS)
Attachment ïWèÄééóøŒŸ¿ﬁ∞
Monochromater å≈íË”…∏€“∞¿
ScanningMode 2Theta/Theta
ScanningType Continuos Scanning
X-Ray 40kV/300mA
î≠éUΩÿØƒ 2/3Åã
î≠éUècêßå¿ΩÿØƒ 2mm
éUóêΩÿØƒ 2/3Åã
éÛåıΩÿØƒ 0.3mm
±Ø√»∞¿ äJï˙
”…∏€éÛåıΩÿØƒ 0.8mm
Start 10
Stop 90
Step 0.02
10 22
10.02 27
10.04 34
10.06 37
10.08 36
10.1 27
10.12 23
10.14 30
10.16 32
10.18 34
10.2 35
10.22 31
10.24 24
10.26 36
10.28 41
10.3 27
10.32 38
10.34 29
10.36 35
10.38 37
10.4 31
10.42 23
10.44 34
10.46 23
10.48 36
10.5 36
10.52 30
10.54 29
10.56 36
10.58 34
10.6 29
10.62 37
10.64 24
10.66 23
10.68 36
10.7 22
10.72 16
10.74 21
10.76 29
10.78 40
10.8 28
10.82 23
10.84 30
10.86 29
10.88 43
10.9 21
10.92 32
10.94 30
10.96 33
10.98 26
11 28
11.02 35
11.04 30
11.06 34
11.08 23
11.1 25
11.12 26
11.14 32
11.16 29
11.18 30
11.2 27
11.22 35
11.24 38
11.26 27
11.28 34
11.3 24
11.32 28
11.34 30
11.36 32
11.38 22
11.4 19
11.42 22
11.44 22
11.46 24
11.48 27
11.5 18
11.52 25
11.54 25
11.56 36
11.58 25
11.6 29
11.62 23
11.64 21
11.66 39
11.68 28
11.7 22
11.72 39
11.74 27
11.76 26
11.78 27
11.8 20
11.82 44
11.84 22
11.86 29
11.88 31
11.9 23
11.92 33
11.94 23
11.96 22
11.98 25
12 26
12.02 29
12.04 22
12.06 18
12.08 28
12.1 22
12.12 29
12.14 30
12.16 21
12.18 27
12.2 39
12.22 19
12.24 32
12.26 24
12.28 26
12.3 24
12.32 30
12.34 25
12.36 33
12.38 34
12.4 23
12.42 20
12.44 28
12.46 30
12.48 15
12.5 20
12.52 21
12.54 26
12.56 29
12.58 28
12.6 35
12.62 29
12.64 31
12.66 30
12.68 16
12.7 22
12.72 28
12.74 19
12.76 28
12.78 37
12.8 26
12.82 23
12.84 26
12.86 24
12.88 27
12.9 27
12.92 28
12.94 21
12.96 18
12.98 30
13 20
13.02 22
13.04 19
13.06 20
13.08 24
13.1 17
13.12 25
13.14 17
13.16 30
13.18 27
13.2 21
13.22 19
13.24 25
13.26 16
13.28 25
13.3 23
13.32 14
13.34 31
13.36 23
13.38 23
13.4 29
13.42 21
13.44 37
13.46 21
13.48 22
13.5 23
13.52 15
13.54 25
13.56 27
13.58 23
13.6 20
13.62 12
13.64 28
13.66 20
13.68 26
13.7 22
13.72 29
13.74 34
13.76 25
13.78 21
13.8 25
13.82 30
13.84 31
13.86 30
13.88 29
13.9 24
13.92 29
13.94 34
13.96 27
13.98 26
14 18
14.02 21
14.04 25
14.06 20
14.08 24
14.1 25
14.12 23
14.14 17
14.16 21
14.18 24
14.2 34
14.22 20
14.24 25
14.26 26
14.28 26
14.3 23
14.32 25
14.34 24
14.36 19
14.38 25
14.4 20
14.42 22
14.44 17
14.46 20
