Sample SnonSi_å§ñÅÇ†ÇË_SnÇ
Comments rapid
Filename C:\WINDMAX\DATA\SHIMANO\XRD20190306\SnonSi_Kenma#2000_K2SnO3aq_20190122.raw
Goniometer TTRáV êÖïΩ∫ﬁ∆µ“∞¿(Tsé≤éËìÆ,ADS)
Attachment ïWèÄééóøŒŸ¿ﬁ∞
Monochromater å≈íË”…∏€“∞¿
ScanningMode 2Theta/Theta
ScanningType Continuos Scanning
X-Ray 40kV/300mA
î≠éUΩÿØƒ 2/3Åã
î≠éUècêßå¿ΩÿØƒ 2mm
éUóêΩÿØƒ 2/3Åã
éÛåıΩÿØƒ 0.3mm
±Ø√»∞¿ äJï˙
”…∏€éÛåıΩÿØƒ 0.8mm
Start 10
Stop 90
Step 0.02
10 36
10.02 30
10.04 37
10.06 34
10.08 37
10.1 41
10.12 33
10.14 38
10.16 39
10.18 39
10.2 31
10.22 41
10.24 40
10.26 39
10.28 42
10.3 32
10.32 40
10.34 38
10.36 38
10.38 46
10.4 44
10.42 32
10.44 35
10.46 35
10.48 34
10.5 47
10.52 31
10.54 38
10.56 51
10.58 33
10.6 42
10.62 39
10.64 35
10.66 32
10.68 37
10.7 46
10.72 41
10.74 42
10.76 30
10.78 43
10.8 51
10.82 28
10.84 47
10.86 38
10.88 34
10.9 38
10.92 32
10.94 40
10.96 38
10.98 40
11 33
11.02 37
11.04 37
11.06 29
11.08 40
11.1 25
11.12 37
11.14 30
11.16 38
11.18 37
11.2 36
11.22 17
11.24 39
11.26 43
11.28 30
11.3 31
11.32 43
11.34 42
11.36 36
11.38 42
11.4 37
11.42 30
11.44 39
11.46 42
11.48 31
11.5 38
11.52 37
11.54 39
11.56 35
11.58 41
11.6 35
11.62 40
11.64 29
11.66 38
11.68 37
11.7 37
11.72 37
11.74 35
11.76 33
11.78 40
11.8 47
11.82 31
11.84 32
11.86 40
11.88 56
11.9 33
11.92 32
11.94 37
11.96 35
11.98 46
12 38
12.02 31
12.04 39
12.06 35
12.08 41
12.1 44
12.12 47
12.14 35
12.16 32
12.18 37
12.2 37
12.22 37
12.24 28
12.26 27
12.28 34
12.3 39
12.32 37
12.34 31
12.36 35
12.38 35
12.4 40
12.42 40
12.44 32
12.46 51
12.48 46
12.5 41
12.52 33
12.54 34
12.56 41
12.58 34
12.6 45
12.62 43
12.64 43
12.66 40
12.68 36
12.7 39
12.72 46
12.74 28
12.76 40
12.78 24
12.8 34
12.82 25
12.84 38
12.86 41
12.88 42
12.9 39
12.92 36
12.94 26
12.96 31
12.98 23
13 40
13.02 35
13.04 33
13.06 41
13.08 40
13.1 44
13.12 37
13.14 36
13.16 41
13.18 39
13.2 44
13.22 37
13.24 43
13.26 32
13.28 47
13.3 43
13.32 34
13.34 35
13.36 46
13.38 35
13.4 39
13.42 36
13.44 30
13.46 43
13.48 46
13.5 37
13.52 40
13.54 27
13.56 35
13.58 33
13.6 46
13.62 35
13.64 43
13.66 48
13.68 43
13.7 29
13.72 48
13.74 42
13.76 32
13.78 38
13.8 35
13.82 44
13.84 34
13.86 44
13.88 53
13.9 38
13.92 44
13.94 39
13.96 39
13.98 40
14 39
14.02 46
14.04 45
14.06 42
14.08 40
14.1 34
14.12 50
14.14 34
14.16 47
14.18 45
14.2 32
14.22 34
14.24 36
14.26 51
14.28 39
14.3 53
14.32 34
14.34 40
14.36 39
14.38 50
14.4 54
14.42 40
14.44 48
14.46 46
14.48 53
14.5 51
14.52 40
14.54 33
14.56 41
14.58 36
14.6 46
14.62 35
14.64 30
14.66 42
14.68 45
14.7 49
14.72 46
14.74 50
14.76 50
14.78 39
14.8 46
14.82 50
14.84 47
14.86 48
14.88 49
14.9 49
14.92 50
14.94 50
14.96 57
14.98 49
15 44
15.02 47
15.04 52
15.06 49
15.08 46
15.1 43
15.12 47
15.14 38
15.16 48
15.18 51
15.2 41
15.22 50
15.24 46
15.26 38
15.28 41
15.3 47
