Sample glass_reference
Comments rapid
Filename C:\WINDMAX\DATA\SHIMANO\XRD20190306\glass_reference.raw
Goniometer TTRáV êÖïΩ∫ﬁ∆µ“∞¿(Tsé≤éËìÆ,ADS)
Attachment ïWèÄééóøŒŸ¿ﬁ∞
Monochromater å≈íË”…∏€“∞¿
ScanningMode 2Theta/Theta
ScanningType Continuos Scanning
X-Ray 40kV/300mA
î≠éUΩÿØƒ 2/3Åã
î≠éUècêßå¿ΩÿØƒ 2mm
éUóêΩÿØƒ 2/3Åã
éÛåıΩÿØƒ 0.3mm
±Ø√»∞¿ äJï˙
”…∏€éÛåıΩÿØƒ 0.8mm
Start 10
Stop 90
Step 0.02
10 35
10.02 34
10.04 26
10.06 36
10.08 46
10.1 38
10.12 33
10.14 36
10.16 26
10.18 46
10.2 32
10.22 37
10.24 30
10.26 37
10.28 31
10.3 27
10.32 36
10.34 34
10.36 33
10.38 43
10.4 39
10.42 31
10.44 30
10.46 41
10.48 38
10.5 27
10.52 30
10.54 42
10.56 36
10.58 30
10.6 27
10.62 42
10.64 32
10.66 27
10.68 40
10.7 33
10.72 34
10.74 34
10.76 30
10.78 37
10.8 38
10.82 31
10.84 33
10.86 35
10.88 39
10.9 40
10.92 37
10.94 40
10.96 39
10.98 36
11 41
11.02 25
11.04 34
11.06 30
11.08 27
11.1 34
11.12 34
11.14 37
11.16 36
11.18 42
11.2 39
11.22 25
11.24 30
11.26 37
11.28 27
11.3 37
11.32 45
11.34 26
11.36 30
11.38 47
11.4 31
11.42 42
11.44 28
11.46 37
11.48 31
11.5 42
11.52 37
11.54 30
11.56 45
11.58 32
11.6 50
11.62 45
11.64 35
11.66 33
11.68 32
11.7 40
11.72 35
11.74 29
11.76 37
11.78 39
11.8 45
11.82 45
11.84 27
11.86 26
11.88 32
11.9 32
11.92 45
11.94 32
11.96 33
11.98 26
12 30
12.02 29
12.04 41
12.06 32
12.08 42
12.1 36
12.12 28
12.14 40
12.16 34
12.18 37
12.2 28
12.22 27
12.24 31
12.26 40
12.28 34
12.3 34
12.32 30
12.34 33
12.36 24
12.38 33
12.4 21
12.42 35
12.44 39
12.46 37
12.48 39
12.5 42
12.52 38
12.54 26
12.56 33
12.58 39
12.6 34
12.62 35
12.64 30
12.66 26
12.68 32
12.7 46
12.72 30
12.74 40
12.76 33
12.78 36
12.8 39
12.82 30
12.84 28
12.86 30
12.88 40
12.9 32
12.92 32
12.94 37
12.96 31
12.98 41
13 31
13.02 21
13.04 36
13.06 55
13.08 32
13.1 40
13.12 39
13.14 30
13.16 51
13.18 38
13.2 32
13.22 30
13.24 35
13.26 30
13.28 35
13.3 33
13.32 34
13.34 33
13.36 45
13.38 34
13.4 33
13.42 18
13.44 46
13.46 44
13.48 42
13.5 35
13.52 30
13.54 38
13.56 36
13.58 29
13.6 27
13.62 39
13.64 35
13.66 29
13.68 42
13.7 46
13.72 35
13.74 32
13.76 39
13.78 35
13.8 36
13.82 28
13.84 33
13.86 41
13.88 42
13.9 29
13.92 39
13.94 33
13.96 33
13.98 32
14 46
14.02 32
14.04 33
14.06 42
14.08 39
14.1 37
14.12 40
14.14 46
14.16 34
14.18 36
14.2 45
14.22 51
14.24 38
14.26 38
14.28 24
14.3 40
14.32 31
14.34 43
14.36 39
14.38 38
14.4 48
14.42 45
14.44 41
14.46 32
14.48 35
14.5 44
14.52 46
14.54 34
14.56 48
14.58 28
14.6 39
14.62 35
14.64 39
14.66 39
14.68 35
14.7 50
14.72 37
14.74 30
14.76 38
14.78 42
14.8 39
14.82 34
14.84 47
14.86 47
14.88 35
14.9 33
14.92 27
14.94 40
14.96 41
14.98 31
15 43
15.02 35
15.04 30
15.06 47
15.08 37
15.1 42
15.12 36
15.14 41
15.16 35
15.18 48
15.2 41
15.22 32
15.24 40
15.26 34
15.28 45
15.3 45
15.32 39
15.34 34
15.36 39
15.38 33
15.4 45
15.42 35
15.44 40
15.46 36
15.48 41
15.5 49
15.52 38
15.54 42
15.56 36
15.58 43
15.6 43
15.62 38
15.64 31
15.66 37
15.68 44
15.7 52
15.72 41
15.74 39
15.76 41
15.78 46
15.8 53
15.82 35
15.84 37
15.86 49
15.88 34
15.9 56
15.92 48
15.94 50
15.96 49
15.98 38
16 37
16.02 43
16.04 46
16.06 57
16.08 40
16.1 57
16.12 42
16.14 45
16.16 40
16.18 41
16.2 39
16.22 54
16.24 35
16.26 43
16.28 45
16.3 43
16.32 47
16.34 59
16.36 46
16.38 43
16.4 42
16.42 49
16.44 33
16.46 46
16.48 41
16.5 57
16.52 52
16.54 47
16.56 35
16.58 58
16.6 43
16.62 55
16.64 48
16.66 39
16.68 50
16.7 43
16.72 59
16.74 48
16.76 46
16.78 50
16.8 46
16.82 36
16.84 55
16.86 48
16.88 47
16.9 53
16.92 47
16.94 48
16.96 46
16.98 49
17 53
17.02 45
17.04 43
17.06 46
17.08 38
17.1 55
17.12 65
17.14 49
17.16 40
17.18 52
17.2 66
17.22 65
17.24 58
17.26 52
17.28 57
17.3 56
17.32 49
17.34 51
17.36 53
17.38 65
17.4 60
17.42 54
17.44 52
17.46 45
17.48 48
17.5 53
17.52 54
17.54 56
17.56 57
17.58 50
17.6 47
17.62 60
17.64 52
17.66 51
17.68 55
17.7 42
17.72 53
17.74 48
17.76 52
17.78 54
17.8 37
17.82 54
17.84 53
17.86 60
17.88 51
17.9 58
17.92 66
17.94 47
17.96 51
17.98 54
18 51
18.02 55
18.04 54
18.06 51
18.08 53
18.1 55
18.12 50
18.14 50
18.16 48
18.18 63
18.2 54
18.22 55
18.24 50
18.26 66
18.28 54
18.3 64
18.32 53
18.34 55
18.36 60
18.38 60
18.4 76
18.42 58
18.44 53
18.46 48
18.48 62
18.5 48
18.52 48
18.54 57
18.56 61
18.58 63
18.6 57
18.62 60
18.64 50
18.66 60
18.68 61
18.7 58
18.72 60
18.74 64
18.76 73
18.78 70
18.8 66
18.82 60
18.84 55
18.86 58
18.88 71
18.9 61
18.92 72
18.94 63
18.96 66
18.98 68
19 77
19.02 72
19.04 84
19.06 64
19.08 55
19.1 64
19.12 54
19.14 70
19.16 66
19.18 61
19.2 54
19.22 41
19.24 47
19.26 83
19.28 56
19.3 81
19.32 49
19.34 65
19.36 66
19.38 54
19.4 75
19.42 59
19.44 71
19.46 87
19.48 64
19.5 64
19.52 64
19.54 76
19.56 59
19.58 70
19.6 70
19.62 57
19.64 53
19.66 80
19.68 72
19.7 79
19.72 74
19.74 75
19.76 70
19.78 64
19.8 82
19.82 69
19.84 61
19.86 68
19.88 54
19.9 58
19.92 77
19.94 64
19.96 67
19.98 56
20 64
20.02 67
20.04 69
20.06 67
20.08 59
20.1 79
20.12 62
20.14 78
20.16 83
20.18 77
20.2 59
20.22 70
20.24 81
20.26 68
20.28 58
20.3 74
20.32 70
20.34 60
20.36 75
20.38 93
20.4 77
20.42 77
20.44 69
20.46 93
20.48 67
20.5 62
20.52 72
20.54 81
20.56 73
20.58 72
20.6 73
20.62 87
20.64 90
20.66 71
20.68 84
20.7 76
20.72 82
20.74 87
20.76 76
20.78 87
20.8 72
20.82 61
20.84 96
20.86 97
20.88 81
20.9 78
20.92 70
20.94 74
20.96 74
20.98 90
21 67
21.02 86
21.04 75
21.06 74
21.08 91
21.1 90
21.12 82
21.14 88
21.16 88
21.18 89
21.2 81
21.22 79
21.24 92
21.26 89
21.28 74
21.3 88
21.32 70
21.34 88
21.36 69
21.38 82
21.4 78
21.42 81
21.44 64
21.46 95
21.48 84
21.5 77
21.52 82
21.54 84
21.56 95
21.58 89
21.6 94
21.62 98
21.64 72
21.66 100
21.68 99
21.7 100
21.72 71
21.74 92
21.76 72
21.78 91
21.8 90
21.82 90
21.84 94
21.86 99
21.88 86
21.9 83
21.92 95
21.94 100
21.96 92
21.98 79
22 104
22.02 80
22.04 84
22.06 92
22.08 90
22.1 65
22.12 71
22.14 96
22.16 74
22.18 97
22.2 87
22.22 86
22.24 75
22.26 92
22.28 95
22.3 87
22.32 80
22.34 105
22.36 96
22.38 93
22.4 83
22.42 82
22.44 88
22.46 100
22.48 96
22.5 93
22.52 93
22.54 102
22.56 87
22.58 91
22.6 97
22.62 90
22.64 80
22.66 93
22.68 111
22.7 101
22.72 107
22.74 117
22.76 101
22.78 86
22.8 99
22.82 100
22.84 99
22.86 86
22.88 83
22.9 112
22.92 101
22.94 99
22.96 80
22.98 107
23 89
23.02 98
23.04 90
23.06 84
23.08 94
23.1 107
23.12 87
23.14 101
23.16 107
23.18 92
23.2 101
23.22 94
23.24 110
23.26 88
23.28 85
23.3 88
23.32 76
23.34 100
23.36 94
23.38 87
23.4 103
23.42 109
23.44 101
23.46 94
23.48 87
23.5 102
23.52 89
23.54 102
23.56 97
23.58 74
23.6 95
23.62 72
23.64 106
23.66 101
23.68 101
23.7 82
23.72 88
23.74 114
23.76 97
23.78 90
23.8 97
23.82 98
23.84 87
23.86 102
23.88 105
23.9 95
23.92 96
23.94 87
23.96 77
23.98 95
24 108
24.02 101
24.04 105
24.06 85
24.08 101
24.1 80
24.12 93
24.14 100
24.16 118
24.18 95
24.2 99
24.22 112
24.24 122
24.26 96
24.28 90
24.3 86
24.32 90
24.34 99
24.36 77
24.38 93
24.4 107
24.42 113
24.44 111
24.46 95
24.48 103
24.5 89
24.52 96
24.54 102
24.56 106
24.58 88
24.6 102
24.62 91
24.64 86
24.66 83
24.68 91
24.7 81
24.72 110
24.74 100
