Sample background
Comments 
Filename C:\WINDMAX\DATA\KAGAWALAB\181122_background.raw
Goniometer TTRáV êÖïΩ∫ﬁ∆µ“∞¿(Tsé≤éËìÆ,ADS)
Attachment ïWèÄééóøŒŸ¿ﬁ∞
Monochromater å≈íË”…∏€“∞¿
ScanningMode 2Theta/Theta
ScanningType Continuos Scanning
X-Ray 40kV/300mA
î≠éUΩÿØƒ 2/3Åã
î≠éUècêßå¿ΩÿØƒ 10mm
éUóêΩÿØƒ 2/3Åã
éÛåıΩÿØƒ 0.3mm
±Ø√»∞¿ äJï˙
”…∏€éÛåıΩÿØƒ 0.8mm
Start 10
Stop 90
Step 0.02
10 292
10.02 296
10.04 271
10.06 264
10.08 254
10.1 284
10.12 268
10.14 259
10.16 296
10.18 283
10.2 266
10.22 274
10.24 297
10.26 281
10.28 284
10.3 283
10.32 280
10.34 290
10.36 278
10.38 255
10.4 254
10.42 276
10.44 251
10.46 259
10.48 284
10.5 265
10.52 290
10.54 260
10.56 289
10.58 257
10.6 270
10.62 289
10.64 262
10.66 244
10.68 271
10.7 251
10.72 301
10.74 270
10.76 271
10.78 285
10.8 275
10.82 266
10.84 262
10.86 286
10.88 286
10.9 279
10.92 289
10.94 295
10.96 261
10.98 281
11 257
11.02 274
11.04 293
11.06 276
11.08 319
11.1 267
11.12 291
11.14 301
11.16 270
11.18 265
11.2 242
11.22 296
11.24 303
11.26 298
11.28 313
11.3 292
11.32 289
11.34 279
11.36 263
11.38 293
11.4 262
11.42 267
11.44 273
11.46 313
11.48 264
11.5 248
11.52 260
11.54 299
11.56 269
11.58 267
11.6 276
11.62 290
11.64 285
11.66 245
11.68 260
11.7 232
11.72 261
11.74 305
11.76 279
11.78 267
11.8 248
11.82 268
11.84 278
11.86 284
11.88 267
11.9 250
11.92 273
11.94 253
11.96 251
11.98 263
12 300
12.02 257
12.04 277
12.06 269
12.08 267
12.1 265
12.12 271
12.14 241
12.16 253
12.18 284
12.2 244
12.22 284
12.24 250
12.26 273
12.28 249
12.3 255
12.32 265
12.34 278
12.36 261
12.38 244
12.4 246
12.42 282
12.44 247
12.46 244
12.48 262
12.5 256
12.52 285
12.54 281
12.56 265
12.58 282
12.6 249
12.62 263
12.64 270
12.66 263
12.68 253
12.7 293
12.72 291
12.74 272
12.76 277
12.78 243
12.8 260
12.82 226
12.84 283
12.86 271
12.88 267
12.9 278
12.92 272
12.94 258
12.96 288
12.98 257
13 281
13.02 266
13.04 270
13.06 286
13.08 299
13.1 284
13.12 309
13.14 287
13.16 279
13.18 268
13.2 295
13.22 289
13.24 288
13.26 316
13.28 306
13.3 325
13.32 285
13.34 339
13.36 323
13.38 355
13.4 326
13.42 323
13.44 386
13.46 375
13.48 335
13.5 368
13.52 346
13.54 397
13.56 394
13.58 440
13.6 403
13.62 429
13.64 468
13.66 480
13.68 507
13.7 472
13.72 524
13.74 540
13.76 567
13.78 602
13.8 604
13.82 660
13.84 643
13.86 656
13.88 718
13.9 742
13.92 739
13.94 800
13.96 817
13.98 889
14 832
14.02 864
14.04 901
14.06 881
14.08 810
14.1 824
14.12 778
14.14 743
14.16 693
14.18 650
14.2 557
14.22 552
14.24 509
14.26 458
14.28 467
14.3 385
14.32 396
14.34 371
14.36 329
14.38 286
14.4 349
14.42 315
14.44 293
14.46 260
14.48 299
14.5 299
14.52 250
14.54 243
14.56 238
14.58 223
14.6 223
14.62 214
14.64 184
14.66 211
14.68 205
14.7 204
14.72 186
14.74 208
14.76 191
14.78 165
14.8 183
14.82 170
14.84 169
14.86 171
14.88 173
14.9 182
14.92 170
14.94 164
14.96 153
14.98 172
15 163
15.02 159
15.04 167
15.06 145
15.08 166
15.1 151
15.12 162
15.14 179
15.16 143
15.18 170
15.2 156
15.22 125
15.24 135
15.26 138
15.28 152
15.3 130
15.32 125
15.34 120
15.36 105
15.38 130
15.4 152
15.42 136
15.44 136
15.46 139
15.48 151
15.5 117
15.52 140
15.54 132
15.56 108
15.58 142
15.6 121
15.62 129
15.64 116
15.66 137
15.68 125
15.7 142
15.72 137
15.74 139
15.76 122
15.78 112
15.8 119
15.82 117
15.84 125
15.86 129
15.88 127
15.9 128
15.92 131
15.94 121
15.96 128
15.98 126
16 109
16.02 118
16.04 109
16.06 113
16.08 110
16.1 128
16.12 111
16.14 127
16.16 131
16.18 106
16.2 103
16.22 127
16.24 136
16.26 111
16.28 134
16.3 135
16.32 123
16.34 123
16.36 111
16.38 153
16.4 120
16.42 125
16.44 136
16.46 125
16.48 130
16.5 137
16.52 158
16.54 135
16.56 146
16.58 181
16.6 158
16.62 144
16.64 161
16.66 177
16.68 139
16.7 148
16.72 183
16.74 182
16.76 221
16.78 186
16.8 206
16.82 175
16.84 195
16.86 172
16.88 154
16.9 195
16.92 171
16.94 174
16.96 140
16.98 154
17 163
17.02 140
17.04 136
17.06 145
17.08 166
17.1 141
17.12 118
17.14 121
17.16 103
17.18 113
17.2 120
17.22 114
17.24 108
17.26 116
17.28 120
17.3 107
17.32 104
17.34 112
17.36 110
17.38 104
17.4 90
17.42 105
17.44 98
17.46 88
17.48 111
17.5 109
17.52 86
17.54 89
17.56 102
17.58 86
17.6 110
17.62 92
17.64 92
17.66 88
17.68 96
17.7 81
17.72 78
17.74 86
17.76 93
17.78 95
17.8 78
17.82 94
17.84 82
17.86 105
17.88 113
17.9 80
17.92 113
17.94 85
17.96 84
17.98 88
18 103
18.02 94
18.04 90
18.06 98
18.08 83
18.1 108
18.12 98
18.14 83
18.16 84
18.18 100
18.2 81
18.22 98
18.24 92
18.26 91
18.28 97
18.3 94
18.32 97
18.34 106
18.36 83
18.38 109
18.4 94
18.42 106
18.44 90
18.46 101
18.48 90
18.5 84
18.52 89
18.54 87
18.56 84
18.58 79
18.6 104
18.62 97
18.64 88
18.66 86
18.68 97
18.7 108
18.72 83
18.74 78
18.76 99
18.78 96
18.8 85
18.82 94
18.84 100
18.86 90
18.88 100
18.9 86
18.92 84
18.94 90
18.96 93
18.98 109
19 76
19.02 94
19.04 100
19.06 89
19.08 90
19.1 85
19.12 86
19.14 112
19.16 72
19.18 80
19.2 97
19.22 88
19.24 76
19.26 89
19.28 80
19.3 97
19.32 93
19.34 92
19.36 91
19.38 84
19.4 95
19.42 82
19.44 82
19.46 89
19.48 99
19.5 85
19.52 94
19.54 92
19.56 86
19.58 81
19.6 84
19.62 91
19.64 89
19.66 87
19.68 95
19.7 90
19.72 83
19.74 85
19.76 90
19.78 95
19.8 87
19.82 87
19.84 78
19.86 72
19.88 88
19.9 86
19.92 86
19.94 91
19.96 77
19.98 84
20 80
20.02 89
20.04 77
20.06 90
20.08 91
20.1 92
20.12 84
20.14 84
20.16 83
20.18 101
20.2 91
20.22 98
20.24 101
20.26 91
20.28 83
20.3 97
20.32 93
20.34 94
20.36 85
20.38 89
20.4 77
20.42 80
20.44 77
20.46 75
20.48 79
20.5 90
20.52 87
20.54 80
20.56 74
20.58 93
20.6 73
20.62 84
20.64 89
20.66 84
20.68 84
20.7 61
20.72 89
20.74 80
20.76 79
20.78 76
20.8 83
20.82 77
20.84 101
20.86 94
20.88 76
20.9 76
20.92 94
20.94 81
20.96 86
20.98 78
21 84
21.02 94
21.04 78
21.06 60
21.08 84
21.1 78
21.12 71
21.14 83
21.16 82
21.18 84
21.2 85
21.22 81
21.24 70
21.26 91
21.28 99
21.3 102
21.32 97
21.34 88
21.36 91
21.38 105
21.4 108
21.42 123
21.44 154
21.46 164
21.48 152
21.5 176
21.52 202
21.54 177
21.56 180
21.58 167
21.6 142
21.62 112
21.64 118
21.66 91
21.68 95
21.7 80
21.72 97
21.74 101
21.76 79
21.78 77
21.8 77
21.82 75
21.84 68
21.86 75
21.88 79
21.9 64
21.92 69
21.94 79
21.96 70
21.98 70
22 82
22.02 59
22.04 66
22.06 79
22.08 75
22.1 66
22.12 83
22.14 72
