光学クライオスタット 300K→50K (180806; 1K/min),,光学クライオスタット 50K→300K (180806; 1K/min),,,PPMS 300K→100K (180709; 2K/min),,PPMS 100K→300K (180709; 2K/min),
,,,,,,,,
299.96,0.028781,49.996,0.014917,,299.9970398,0.027768426,99.86354828,0.017117018
299.96,0.028418,49.997,0.014842,,300.0901947,0.027759617,100.0367012,0.016995856
299.89,0.028822,49.999,0.014912,,300.3187866,0.027811956,100.2022514,0.017075559
299.73,0.028691,50,0.014963,,300.6797028,0.027900914,100.5466995,0.01701724
299.55,0.028377,50,0.014802,,301.0951996,0.027808901,100.8828011,0.017469826
299.37,0.028508,50,0.014771,,301.4048004,0.027794082,101.139801,0.016951562
299.19,0.028722,50.047,0.014741,,301.6453094,0.027886797,101.3653984,0.017680949
299,0.028982,50.195,0.014742,,301.8890076,0.027972135,101.6165504,0.017002729
298.82,0.028842,50.361,0.014933,,302.1457062,0.027936437,101.8798485,0.017610455
298.64,0.028811,50.532,0.016424,,302.3921509,0.027799169,102.1407509,0.017280711
298.45,0.028731,50.702,0.014902,,302.6507568,0.02799295,102.4008026,0.016938902
298.27,0.02875,50.88,0.014822,,302.9160919,0.028245172,102.6894493,0.017345625
298.09,0.028669,51.065,0.014782,,303.1925507,0.027951711,102.9274025,0.017386604
297.91,0.028538,51.243,0.014802,,303.4474945,0.027980604,103.1967506,0.017273075
297.73,0.028581,51.415,0.014701,,303.7362366,0.028052518,103.4435005,0.016740489
297.55,0.028569,51.597,0.014964,,304,0.02797806,103.7007027,0.017363189
297.37,0.028791,51.779,0.015175,,304.2814026,0.028076192,103.9641991,0.017598072
297.2,0.028487,51.96,0.014973,,304.5449982,0.028158679,104.219799,0.017496835
297.02,0.028579,52.146,0.014983,,304.790863,0.028073137,104.4664993,0.01762351
296.84,0.02875,52.33,0.014953,,305.0279388,0.028226463,104.7265015,0.017576258
296.66,0.028659,52.517,0.015114,,305.2884979,0.028171653,104.9829979,0.017936398
296.48,0.028306,52.695,0.015074,,305.5606995,0.028218831,105.2759018,0.017687757
296.3,0.028478,52.877,0.014912,,305.8249969,0.028166307,105.5153503,0.017330972
296.13,0.028629,53.054,0.015255,,306.0682068,0.028307866,105.773201,0.017735105
295.95,0.028538,53.232,0.015074,,306.3187408,0.028250312,106.0377998,0.017760649
295.77,0.028528,53.412,0.015013,,306.5905914,0.02811199,106.3023491,0.017808419
295.59,0.02866,53.589,0.015386,,306.891449,0.028303006,106.554451,0.017984501
295.42,0.028548,53.767,0.015255,,307.1369476,0.028007745,106.8016472,0.017906171
295.24,0.028569,53.947,0.015245,,307.4013977,0.028221292,107.055397,0.018086253
295.06,0.028468,54.123,0.015366,,307.6471863,0.028206147,107.3230972,0.018002396
294.88,0.028518,54.3,0.015356,,307.8984528,0.028377084,107.5887985,0.017908188
294.71,0.028537,54.476,0.015114,,308.1551056,0.028249389,107.8338509,0.017951992
294.53,0.02862,54.654,0.015154,,308.4096985,0.028371738,108.0994034,0.018019598
294.35,0.028447,54.836,0.015316,,308.6716461,0.028333328,108.3855515,0.018172698
294.17,0.028528,55.008,0.015436,,308.9311981,0.028547386,108.642498,0.018126434
294,0.028396,55.184,0.015578,,309.1898956,0.028443426,108.8885002,0.018295651
293.82,0.028487,55.361,0.015457,,309.4367065,0.02846338,109.1530991,0.018230726
293.64,0.028619,55.538,0.015417,,309.7077026,0.028468863,109.4280472,0.018314743
293.46,0.028508,55.72,0.015567,,309.9463043,0.028474072,109.6837997,0.018355368
293.29,0.028406,55.9,0.015749,,310.2037506,0.028471406,109.9362526,0.018396458
293.11,0.028306,56.074,0.015487,,310.4889984,0.028642083,110.2017975,0.018114234
292.93,0.028426,56.25,0.01574,,310.7490082,0.02857061,110.4692497,0.01843617
292.75,0.028398,56.428,0.01583,,310.9958496,0.028636738,110.719799,0.0184958
292.58,0.028355,56.601,0.015719,,311.2551575,0.028675355,111.0104485,0.018568287
292.4,0.028436,56.779,0.015749,,311.517746,0.028639793,111.2648506,0.018513607
292.22,0.028426,56.956,0.01577,,311.7622986,0.029023845,111.5301476,0.018675967
292.05,0.028244,57.13,0.0158,,312.0158997,0.028648193,111.7716522,0.018678952
