QuickDAQ Data
2018/12/13 16:58:36
Notes:,,
Sample Rate:,109.05219, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000, 2.94447E-004, 0.0021457672,
 1.06133E-007, 2.77758E-004, 0.0022149086,
 2.12267E-007, 2.76566E-004, 0.0022804737,
 3.18400E-007, 2.83718E-004, 0.0023043156,
 4.24533E-007, 2.95639E-004, 0.0022983551,
 5.30667E-007, 3.13520E-004, 0.0023412704,
 6.36800E-007, 3.11136E-004, 0.0024640560,
 7.42933E-007, 3.38554E-004, 0.0027596951,
 8.49067E-007, 3.13520E-004, 0.0024771690,
 9.55200E-007, 3.17097E-004, 0.0024461746,
 1.06133E-006, 3.29018E-004, 0.0025582314,
 1.16747E-006, 2.93255E-004, 0.0022768974,
 1.27360E-006, 2.69413E-004, 0.0021338463,
 1.37973E-006, 2.37226E-004, 0.0020551682,
 1.48587E-006, 2.62260E-004, 0.0022947788,
 1.59200E-006, 3.24249E-004, 0.0026631355,
 1.69813E-006, 3.12328E-004, 0.0025641918,
 1.80427E-006, 2.75373E-004, 0.0023090839,
 1.91040E-006, 3.18289E-004, 0.0025212765,
 2.01653E-006, 3.18289E-004, 0.0024878979,
 2.12267E-006, 3.38554E-004, 0.0026965141,
 2.22880E-006, 3.34978E-004, 0.0025880337,
 2.33493E-006, 3.21865E-004, 0.0024139881,
 2.44107E-006, 3.19481E-004, 0.0024640560,
 2.54720E-006, 2.84910E-004, 0.0022017956,
 2.65333E-006, 3.12328E-004, 0.0023710728,
 2.75947E-006, 3.29018E-004, 0.0025272369,
 2.86560E-006, 3.11136E-004, 0.0023996830,
 2.97173E-006, 3.34978E-004, 0.0025784969,
 3.07787E-006, 3.60012E-004, 0.0028026104,
 3.18400E-006, 3.23057E-004, 0.0025594234,
 3.29013E-006, 3.13520E-004, 0.0024998188,
 3.39627E-006, 3.05176E-004, 0.0023686886,
 3.50240E-006, 3.07560E-004, 0.0025033951,
 3.60853E-006, 2.36034E-004, 0.0020503998,
 3.71467E-006,-5.30481E-004,-0.0044214725,
 3.82080E-006,-0.0018584728,-0.0157964230,
 3.92693E-006,-0.0024986267,-0.0214540958,
