QuickDAQ Data
2018/12/27 22:01:46
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000, 0.0186681747,-0.0090098381,
 1.15778E-007, 0.0187265873,-0.0090098381,
 2.31557E-007, 0.0184917450,-0.0088942051,
 3.47335E-007, 0.0184738636,-0.0089204311,
 4.63114E-007, 0.0188946724,-0.0091326237,
 5.78892E-007, 0.0189244747,-0.0091242790,
 6.94670E-007, 0.0186395645,-0.0089824200,
 8.10449E-007, 0.0185179710,-0.0089216232,
 9.26227E-007, 0.0182318687,-0.0087869167,
 1.04201E-006, 0.0183176994,-0.0088453293,
 1.15778E-006, 0.0185120106,-0.0089395046,
 1.27356E-006, 0.0183951855,-0.0088667870,
 1.38934E-006, 0.0183224678,-0.0088238716,
 1.50512E-006, 0.0182783604,-0.0087988377,
 1.62090E-006, 0.0183689594,-0.0088441372,
 1.73668E-006, 0.0185787678,-0.0089514256,
 1.85245E-006, 0.0183117390,-0.0088214874,
 1.96823E-006, 0.0184571743,-0.0088834763,
 2.08401E-006, 0.0185704231,-0.0089466572,
 2.19979E-006, 0.0185120106,-0.0089430809,
 2.31557E-006, 0.0188922882,-0.0091457367,
 2.43135E-006, 0.0187277794,-0.0090754032,
 2.54713E-006, 0.0185430050,-0.0089550018,
 2.66290E-006, 0.0187027454,-0.0090253353,
 2.77868E-006, 0.0187814236,-0.0090801716,
 2.89446E-006, 0.0187397003,-0.0090551376,
 3.01024E-006, 0.0185394287,-0.0089514256,
 3.12602E-006, 0.0184047222,-0.0088727474,
 3.24180E-006, 0.0183832645,-0.0088572502,
 3.35757E-006, 0.0185441971,-0.0089395046,
 3.47335E-006, 0.0185823441,-0.0089561939,
 3.58913E-006, 0.0183320045,-0.0088453293,
 3.70491E-006, 0.0185656548,-0.0089645386,
 3.82069E-006, 0.0186693668,-0.0090217590,
 3.93647E-006, 0.0188243389,-0.0090742111,
 4.05224E-006, 0.0189661980,-0.0091290474,
 4.16802E-006, 0.0186252594,-0.0089776516,
 4.28380E-006, 0.0186491013,-0.0089859962,
 4.39958E-006, 0.0188529491,-0.0090909004,
 4.51536E-006, 0.0189781189,-0.0091457367,
 4.63114E-006, 0.0190877914,-0.0091814995,
 4.74691E-006, 0.0187420845,-0.0090277195,
 4.86269E-006, 0.0186443329,-0.0089907646,
 4.97847E-006, 0.0187540054,-0.0090408325,
 5.09425E-006, 0.0184762478,-0.0089061260,
 5.21003E-006, 0.0184786320,-0.0088989735,
 5.32581E-006, 0.0189030170,-0.0091397762,
 5.44159E-006, 0.0187516212,-0.0090718269,
 5.55736E-006, 0.0185978413,-0.0089669228,
 5.67314E-006, 0.0186884403,-0.0089967251,
 5.78892E-006, 0.0185000896,-0.0089180470,
 5.90470E-006, 0.0186121464,-0.0089883804,
 6.02048E-006, 0.0187706947,-0.0090718269,
 6.13626E-006, 0.0187599659,-0.0090765953,
 6.25203E-006, 0.0188899040,-0.0091254711,
 6.36781E-006, 0.0189268589,-0.0091469288,
 6.48359E-006, 0.0189197063,-0.0091433525,
 6.59937E-006, 0.0189971924,-0.0091612339,
 6.71515E-006, 0.0186920166,-0.0090038776,
 6.83093E-006, 0.0182008743,-0.0087845325,
 6.94670E-006, 0.0181210041,-0.0087666512,
 7.06248E-006, 0.0185883045,-0.0089788437,
 7.17826E-006, 0.0185096264,-0.0089192390,
 7.29404E-006, 0.0186121464,-0.0089550018,
 7.40982E-006, 0.0191903114,-0.0092399120,
 7.52560E-006, 0.0190353394,-0.0091636181,
 7.64138E-006, 0.0186896324,-0.0089967251,
 7.75715E-006, 0.0185084343,-0.0089216232,
 7.87293E-006, 0.0182414055,-0.0087988377,
 7.98871E-006, 0.0184118748,-0.0088846684,
 8.10449E-006, 0.0188446045,-0.0090920925,
 8.22027E-006, 0.0190258026,-0.0091838837,
 8.33605E-006, 0.0192749500,-0.0092995167,
 8.45182E-006, 0.0191724300,-0.0092315674,
 8.56760E-006, 0.0187742710,-0.0090396404,
 8.68338E-006, 0.0188350677,-0.0090694427,
 8.79916E-006, 0.0191342831,-0.0092279911,
 8.91494E-006, 0.0191009045,-0.0092184544,
 9.03072E-006, 0.0189757347,-0.0091385841,
 9.14649E-006, 0.0186705589,-0.0089919567,
 9.26227E-006, 0.0185334682,-0.0089371204,
 9.37805E-006, 0.0187492371,-0.0090587139,
 9.49383E-006, 0.0187993050,-0.0090754032,
 9.60961E-006, 0.0188326836,-0.0090837479,
 9.72539E-006, 0.0188314915,-0.0090909004,
 9.84117E-006, 0.0188994408,-0.0091063976,
 9.95694E-006, 0.0189387798,-0.0091123581,
 1.00727E-005, 0.0187742710,-0.0090467930,
 1.01885E-005, 0.0187420845,-0.0090408325,
 1.03043E-005, 0.0186598301,-0.0090038776,
 1.04201E-005, 0.0187814236,-0.0090503693,
 1.05358E-005, 0.0188612938,-0.0090849400,
 1.06516E-005, 0.0186264515,-0.0089836121,
 1.07674E-005, 0.0186085701,-0.0089895725,
 1.08832E-005, 0.0187969208,-0.0090861320,
 1.09989E-005, 0.0188171864,-0.0090837479,
 1.11147E-005, 0.0186157227,-0.0089931488,
 1.12305E-005, 0.0186800957,-0.0090181828,
 1.13463E-005, 0.0187551975,-0.0090289116,
 1.14621E-005, 0.0186502934,-0.0089824200,
 1.15778E-005, 0.0188970566,-0.0091075897,
 1.16936E-005, 0.0187993050,-0.0090551376,
 1.18094E-005, 0.0186705589,-0.0090050697,
 1.19252E-005, 0.0190722942,-0.0091898441,
 1.20410E-005, 0.0191497803,-0.0092411041,
 1.21567E-005, 0.0188088417,-0.0090825558,
 1.22725E-005, 0.0186216831,-0.0089633465,
 1.23883E-005, 0.0187730789,-0.0090527534,
 1.25041E-005, 0.0191390514,-0.0092566013,
 1.26198E-005, 0.0190258026,-0.0091946125,
 1.27356E-005, 0.0188040733,-0.0090742111,
 1.28514E-005, 0.0189113617,-0.0091278553,
 1.29672E-005, 0.0190520287,-0.0091898441,
 1.30830E-005, 0.0189542770,-0.0091338158,
 1.31987E-005, 0.0189876556,-0.0091552734,
 1.33145E-005, 0.0191843510,-0.0092661381,
 1.34303E-005, 0.0189912319,-0.0091743469,
 1.35461E-005, 0.0187301636,-0.0090396404,
 1.36619E-005, 0.0184416771,-0.0089061260,
 1.37776E-005, 0.0183773041,-0.0088751316,
 1.38934E-005, 0.0186181068,-0.0089848042,
 1.40092E-005, 0.0187230110,-0.0090265274,
 1.41250E-005, 0.0185298920,-0.0089335442,
 1.42407E-005, 0.0183641911,-0.0088620186,
 1.43565E-005, 0.0183713436,-0.0088596344,
 1.44723E-005, 0.0185799599,-0.0089597702,
 1.45881E-005, 0.0188529491,-0.0091028214,
 1.47039E-005, 0.0188386440,-0.0090801716,
 1.48196E-005, 0.0188648701,-0.0090801716,
 1.49354E-005, 0.0187146664,-0.0090193748,
 1.50512E-005, 0.0186479092,-0.0089931488,
 1.51670E-005, 0.0189518929,-0.0091409683,
 1.52828E-005, 0.0188040733,-0.0090634823,
 1.53985E-005, 0.0187063217,-0.0090253353,
 1.55143E-005, 0.0188028812,-0.0090956688,
 1.56301E-005, 0.0189721584,-0.0091743469,
 1.57459E-005, 0.0192856789,-0.0093150139,
 1.58616E-005, 0.0192177296,-0.0092899799,
 1.59774E-005, 0.0193369389,-0.0093328953,
 1.60932E-005, 0.0195610523,-0.0094437599,
 1.62090E-005, 0.0193345547,-0.0093400478,
 1.63248E-005, 0.0190114975,-0.0091779232,
 1.64405E-005, 0.0192022324,-0.0092566013,
 1.65563E-005, 0.0191247463,-0.0092184544,
 1.66721E-005, 0.0189054012,-0.0091385841,
 1.67879E-005, 0.0190186501,-0.0091814995,
 1.69036E-005, 0.0190412998,-0.0091671944,
 1.70194E-005, 0.0527322292,-0.0254261494,
 1.71352E-005, 0.0862264633,-0.0416088104,
 1.72510E-005, 0.0860559940,-0.0415265560,
 1.73668E-005, 0.0867104530,-0.0418269634,
 1.74825E-005, 0.0872445107,-0.0420951843,
 1.75983E-005, 0.0874865055,-0.0422155857,
 1.77141E-005, 0.0877749920,-0.0423491001,
 1.78299E-005, 0.0875437260,-0.0422501564,
 1.79457E-005, 0.0872099400,-0.0420773029,
 1.80614E-005, 0.0873553753,-0.0421392918,
 1.81772E-005, 0.0877082348,-0.0423085690,
 1.82930E-005, 0.0875186920,-0.0422167778,
 1.84088E-005, 0.0875639915,-0.0422668457,
 1.85245E-005, 0.0879967213,-0.0424695015,
 1.86403E-005, 0.0876879692,-0.0423014164,
 1.87561E-005, 0.0876510143,-0.0422894955,
 1.88719E-005, 0.0878322124,-0.0423777103,
 1.89877E-005, 0.0870251656,-0.0419938564,
 1.91034E-005, 0.0865507126,-0.0417578220,
 1.92192E-005, 0.0863707066,-0.0416612625,
 1.93350E-005, 0.0857603550,-0.0413751602,
 1.94508E-005, 0.0859773159,-0.0414764881,
 1.95666E-005, 0.0864112377,-0.0416898727,
 1.96823E-005, 0.0862872601,-0.0416266918,
 1.97981E-005, 0.0863373280,-0.0416386127,
 1.99139E-005, 0.0866484642,-0.0418043137,
 2.00297E-005, 0.0865662098,-0.0417709351,
 2.01454E-005, 0.0860714912,-0.0415337086,
 2.02612E-005, 0.0860452652,-0.0415229797,
 2.03770E-005, 0.0862312317,-0.0416123867,
 2.04928E-005, 0.0865042210,-0.0417339802,
 2.06086E-005, 0.0861597061,-0.0415515900,
 2.07243E-005, 0.0857079029,-0.0413441658,
 2.08401E-005, 0.0857639313,-0.0413835049,
 2.09559E-005, 0.0858092308,-0.0413966179,
 2.10717E-005, 0.0857150555,-0.0413501263,
 2.11874E-005, 0.0855982304,-0.0412988663,
 2.13032E-005, 0.0859785080,-0.0414788723,
 2.14190E-005, 0.0862789154,-0.0416278839,
 2.15348E-005, 0.0864827633,-0.0417387486,
 2.16506E-005, 0.0865972042,-0.0417900085,
 2.17663E-005, 0.0866472721,-0.0417971611,
 2.18821E-005, 0.0868833065,-0.0419151783,
 2.19979E-005, 0.0867950916,-0.0418782234,
 2.21137E-005, 0.0863242149,-0.0416433811,
 2.22295E-005, 0.0861608982,-0.0415623188,
 2.23452E-005, 0.0860834122,-0.0415313244,
 2.24610E-005, 0.0862538815,-0.0416147709,
 2.25768E-005, 0.0864708424,-0.0417184830,
 2.26926E-005, 0.0862550735,-0.0416278839,
 2.28083E-005, 0.0863444805,-0.0416624546,
 2.29241E-005, 0.0861823559,-0.0415766239,
 2.30399E-005, 0.0860798359,-0.0415277481,
 2.31557E-005, 0.0861132145,-0.0415360928,
 2.32715E-005, 0.0860548019,-0.0415277481,
 2.33872E-005, 0.0860941410,-0.0415337086,
 2.35030E-005, 0.0859737396,-0.0414550304,
 2.36188E-005, 0.0859141350,-0.0414407253,
 2.37346E-005, 0.0857734680,-0.0413703918,
 2.38504E-005, 0.0858640671,-0.0414216518,
 2.39661E-005, 0.0861418247,-0.0415635109,
 2.40819E-005, 0.0859200954,-0.0414502621,
 2.41977E-005, 0.0856351852,-0.0413262844,
 2.43135E-005, 0.0856447220,-0.0413215160,
 2.44292E-005, 0.0856089592,-0.0412964821,
 2.45450E-005, 0.0856530666,-0.0413298607,
 2.46608E-005, 0.0859224796,-0.0414466858,
 2.47766E-005, 0.0859582424,-0.0414597988,
 2.48924E-005, 0.0857782364,-0.0413846970,
 2.50081E-005, 0.0859177113,-0.0414645672,
 2.51239E-005, 0.0858759880,-0.0414371490,
 2.52397E-005, 0.0855815411,-0.0412797928,
 2.53555E-005, 0.0858604908,-0.0414240360,
 2.54713E-005, 0.0860059261,-0.0415039063,
 2.55870E-005, 0.0855815411,-0.0413119793,
 2.57028E-005, 0.0855183601,-0.0412726402,
