QuickDAQ Data
2018/12/28 15:53:13
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000,-0.0016438961, 0.3928196430,
 1.15778E-007,-0.0016438961, 0.3933525085,
 2.31557E-007,-0.0016522408, 0.3935062885,
 3.47335E-007,-0.0016736984, 0.3952991962,
 4.63114E-007,-0.0016546249, 0.3958606720,
 5.78892E-007,-0.0016283989, 0.3945708275,
 6.94670E-007,-0.0016355515, 0.3940176964,
 8.10449E-007,-0.0016379356, 0.3940749168,
 9.26227E-007,-0.0016331673, 0.3944611549,
 1.04201E-006,-0.0016450882, 0.3946816921,
 1.15778E-006,-0.0016427040, 0.3933954239,
 1.27356E-006,-0.0016391277, 0.3933370113,
 1.38934E-006,-0.0016486645, 0.3932690620,
 1.50512E-006,-0.0016343594, 0.3923618793,
 1.62090E-006,-0.0016176701, 0.3927850723,
 1.73668E-006,-0.0016117096, 0.3922605515,
 1.85245E-006,-0.0016176701, 0.3922021389,
 1.96823E-006,-0.0016260147, 0.3928077221,
 2.08401E-006,-0.0016272068, 0.3924465179,
 2.19979E-006,-0.0016331673, 0.3924953938,
 2.31557E-006,-0.0016391277, 0.3932726383,
 2.43135E-006,-0.0016450882, 0.3937649727,
 2.54713E-006,-0.0016379356, 0.3943383694,
 2.66290E-006,-0.0016331673, 0.3942143917,
 2.77868E-006,-0.0016319752, 0.3936421871,
 2.89446E-006,-0.0016415119, 0.3939509392,
 3.01024E-006,-0.0016462803, 0.3945827484,
 3.12602E-006,-0.0016248226, 0.3940296173,
 3.24180E-006,-0.0016295910, 0.3930127621,
 3.35757E-006,-0.0016367435, 0.3921711445,
 3.47335E-006,-0.0016427040, 0.3925836086,
 3.58913E-006,-0.0016605854, 0.3934419155,
 3.70491E-006,-0.0016510487, 0.3942608833,
 3.82069E-006,-0.0016546249, 0.3948557377,
 3.93647E-006,-0.0016510487, 0.3943276405,
 4.05224E-006,-0.0016283989, 0.3945672512,
 4.16802E-006,-0.0016212463, 0.3930330276,
 4.28380E-006,-0.0016176701, 0.3910720348,
 4.39958E-006,-0.0016176701, 0.3906118870,
 4.51536E-006,-0.0016093254, 0.3909301758,
 4.63114E-006,-0.0016176701, 0.3928494453,
 4.74691E-006,-0.0016474724, 0.3933191299,
 4.86269E-006,-0.0016522408, 0.3931915760,
 4.97847E-006,-0.0016498566, 0.3937327862,
 5.09425E-006,-0.0016486645, 0.3925907612,
 5.21003E-006,-0.0016427040, 0.3928077221,
 5.32581E-006,-0.0016522408, 0.3936278820,
 5.44159E-006,-0.0016450882, 0.3929674625,
 5.55736E-006,-0.0016391277, 0.3923070431,
 5.67314E-006,-0.0016331673, 0.3931033611,
 5.78892E-006,-0.0016427040, 0.3944909573,
 5.90470E-006,-0.0016582012, 0.3937685490,
 6.02048E-006,-0.0016343594, 0.3935420513,
 6.13626E-006,-0.0016295910, 0.3947615623,
 6.25203E-006,-0.0016427040, 0.3954041004,
 6.36781E-006,-0.0016343594, 0.3935217857,
 6.48359E-006,-0.0016331673, 0.3924894333,
 6.59937E-006,-0.0016498566, 0.3935444355,
 6.71515E-006,-0.0016629696, 0.3942573071,
 6.83093E-006,-0.0016689301, 0.3947997093,
 6.94670E-006,-0.0016570091, 0.3943109512,
 7.06248E-006,-0.0016450882, 0.3936123848,
 7.17826E-006,-0.0016427040, 0.3939235210,
 7.29404E-006,-0.0016427040, 0.3950357437,
 7.40982E-006,-0.0016403198, 0.3953123093,
 7.52560E-006,-0.0016379356, 0.3954100609,
 7.64138E-006,-0.0016343594, 0.3953611851,
 7.75715E-006,-0.0016355515, 0.3940176964,
 7.87293E-006,-0.0016260147, 0.3926491737,
 7.98871E-006,-0.0016272068, 0.3932249546,
 8.10449E-006,-0.0016486645, 0.3934085369,
 8.22027E-006,-0.0016450882, 0.3934586048,
 8.33605E-006,-0.0016236305, 0.3929579258,
 8.45182E-006,-0.0016212463, 0.3928720951,
 8.56760E-006,-0.0016236305, 0.3940331936,
 8.68338E-006,-0.0016093254, 0.3928720951,
 8.79916E-006,-0.0016272068, 0.3918492794,
 8.91494E-006,-0.0016486645, 0.3931784630,
 9.03072E-006,-0.0016474724, 0.3935444355,
 9.14649E-006,-0.0016355515, 0.3921449184,
 9.26227E-006,-0.0016415119, 0.3927481174,
 9.37805E-006,-0.0016570091, 0.3940510750,
 9.49383E-006,-0.0016522408, 0.3936529160,
 9.60961E-006,-0.0016403198, 0.3920125961,
 9.72539E-006,-0.0016236305, 0.3911757469,
 9.84117E-006,-0.0016105175, 0.3914809227,
 9.95694E-006,-0.0016248226, 0.3917419910,
 1.00727E-005,-0.0016355515, 0.3919243813,
 1.01885E-005,-0.0016295910, 0.3929972649,
 1.03043E-005,-0.0016319752, 0.3928232193,
 1.04201E-005,-0.0016367435, 0.3917586803,
 1.05358E-005,-0.0016248226, 0.3914678097,
 1.06516E-005,-0.0016105175, 0.3912758827,
 1.07674E-005,-0.0016355515, 0.3924250603,
 1.08832E-005,-0.0016403198, 0.3921651840,
 1.09989E-005,-0.0016403198, 0.3918862343,
 1.11147E-005,-0.0016307831, 0.3920948505,
 1.12305E-005,-0.0016129017, 0.3919517994,
 1.13463E-005,-0.0016307831, 0.3917050362,
 1.14621E-005,-0.0016367435, 0.3914535046,
 1.15778E-005,-0.0016355515, 0.3922224045,
 1.16936E-005,-0.0016343594, 0.3923237324,
 1.18094E-005,-0.0016164780, 0.3912401199,
 1.19252E-005,-0.0016129017, 0.3906190395,
 1.20410E-005,-0.0016248226, 0.3910493851,
 1.21567E-005,-0.0016427040, 0.3928232193,
 1.22725E-005,-0.0016295910, 0.3936910629,
 1.23883E-005,-0.0016069412, 0.3928279877,
 1.25041E-005,-0.0016248226, 0.3922164440,
 1.26198E-005,-0.0016200542, 0.3916263580,
 1.27356E-005,-0.0016164780, 0.3923583031,
 1.28514E-005,-0.0016272068, 0.3924202919,
 1.29672E-005,-0.0016343594, 0.3929185867,
 1.30830E-005,-0.0016427040, 0.3934848309,
 1.31987E-005,-0.0016272068, 0.3918731213,
 1.33145E-005,-0.0016164780, 0.3924369812,
 1.34303E-005,-0.0016212463, 0.3932178020,
 1.35461E-005,-0.0016176701, 0.3926432133,
 1.36619E-005,-0.0016283989, 0.3921818733,
 1.37776E-005,-0.0016355515, 0.3932845592,
 1.38934E-005,-0.0016331673, 0.3953552246,
 1.40092E-005,-0.0016283989, 0.3934812546,
 1.41250E-005,-0.0016331673, 0.3913903236,
 1.42407E-005,-0.0016379356, 0.3935945034,
 1.43565E-005,-0.0016200542, 0.3936374187,
 1.44723E-005,-0.0016212463, 0.3928220272,
 1.45881E-005,-0.0016248226, 0.3927230835,
 1.47039E-005,-0.0016391277, 0.3922736645,
 1.48196E-005,-0.0016486645, 0.3922128677,
 1.49354E-005,-0.0016355515, 0.3914022446,
 1.50512E-005,-0.0016474724, 0.3926324844,
 1.51670E-005,-0.0016534328, 0.3940117359,
 1.52828E-005,-0.0016415119, 0.3925979137,
 1.53985E-005,-0.0016248226, 0.3923332691,
 1.55143E-005,-0.0016272068, 0.3936004639,
 1.56301E-005,-0.0016450882, 0.3933084011,
 1.57459E-005,-0.0016427040, 0.3925383091,
 1.58616E-005,-0.0016272068, 0.3920888901,
 1.59774E-005,-0.0016331673, 0.3918004036,
 1.60932E-005,-0.0016379356, 0.3920102119,
 1.62090E-005,-0.0016343594, 0.3913736343,
 1.63248E-005,-0.0016474724, 0.3917729855,
 1.64405E-005,-0.0016474724, 0.3924107552,
 1.65563E-005,-0.0016343594, 0.3922915459,
 1.66721E-005,-0.0016295910, 0.3927421570,
 1.67879E-005,-0.0016367435, 0.3936183453,
 1.69036E-005,-0.0016438961, 0.3937447071,
 1.70194E-005,-0.0016295910, 0.3934860229,
 1.71352E-005,-0.0016164780, 0.3932690620,
 1.72510E-005,-0.0016045570, 0.3919589520,
 1.73668E-005,-0.0016009808, 0.3907358646,
 1.74825E-005,-0.0016260147, 0.3913569450,
 1.75983E-005,-0.0016486645, 0.3934562206,
 1.77141E-005,-0.0016319752, 0.3947687149,
 1.78299E-005,-0.0016140938, 0.3929102421,
 1.79457E-005,-0.0016164780, 0.3911805153,
 1.80614E-005,-0.0016129017, 0.3912305832,
 1.81772E-005,-0.0016033649, 0.3918111324,
 1.82930E-005,-0.0016164780, 0.3922748566,
 1.84088E-005,-0.0016343594, 0.3925168514,
 1.85245E-005,-0.0016403198, 0.3936767578,
 1.86403E-005,-0.0016319752, 0.3930461407,
 1.87561E-005,-0.0016331673, 0.3932297230,
 1.88719E-005,-0.0016462803, 0.3935778141,
 1.89877E-005,-0.0016200542, 0.3916883469,
 1.91034E-005,-0.0015985966, 0.3911232948,
 1.92192E-005,-0.0016260147, 0.3919696808,
 1.93350E-005,-0.0016498566, 0.3924286366,
 1.94508E-005,-0.0016319752, 0.3920984268,
 1.95666E-005,-0.0016176701, 0.3916597366,
 1.96823E-005,-0.0016272068, 0.3921127319,
 1.97981E-005,-0.0016403198, 0.3928995132,
 1.99139E-005,-0.0016236305, 0.3919494152,
 2.00297E-005,-0.0016033649, 0.3920304775,
 2.01454E-005,-0.0016105175, 0.3921627998,
 2.02612E-005,-0.0016272068, 0.3918194771,
 2.03770E-005,-0.0016474724, 0.3924024105,
 2.04928E-005,-0.0016403198, 0.3922247887,
 2.06086E-005,-0.0016200542, 0.3919732571,
 2.07243E-005,-0.0016403198, 0.3916203976,
 2.08401E-005,-0.0016331673, 0.3913974762,
 2.09559E-005,-0.0016069412, 0.3917825222,
 2.10717E-005,-0.0016164780, 0.3909134865,
 2.11874E-005,-0.0016367435, 0.3910768032,
 2.13032E-005,-0.0016427040, 0.3916180134,
 2.14190E-005,-0.0016403198, 0.3919589520,
 2.15348E-005,-0.0016391277, 0.3936111927,
 2.16506E-005,-0.0016307831, 0.3934526443,
 2.17663E-005,-0.0016188622, 0.3920960426,
 2.18821E-005,-0.0016319752, 0.3924655914,
 2.19979E-005,-0.0016295910, 0.3931283951,
 2.21137E-005,-0.0016057491, 0.3923249245,
 2.22295E-005,-0.0016260147, 0.3916394711,
 2.23452E-005,-0.0016295910, 0.3917658329,
 2.24610E-005,-0.0016152859, 0.3911364079,
 2.25768E-005,-0.0016164780, 0.3897154331,
 2.26926E-005,-0.0016379356, 0.3907215595,
 2.28083E-005,-0.0016355515, 0.3917407990,
 2.29241E-005,-0.0016248226, 0.3913378716,
 2.30399E-005,-0.0016427040, 0.3919363022,
 2.31557E-005,-0.0016486645, 0.3917241096,
 2.32715E-005,-0.0016427040, 0.3924727440,
 2.33872E-005,-0.0016319752, 0.3930544853,
 2.35030E-005,-0.0016188622, 0.3920102119,
 2.36188E-005,-0.0016319752, 0.3932666779,
 2.37346E-005,-0.0016582012, 0.3934705257,
 2.38504E-005,-0.0016510487, 0.3919422626,
 2.39661E-005,-0.0016450882, 0.3917849064,
 2.40819E-005,-0.0016462803, 0.3918492794,
 2.41977E-005,-0.0016355515, 0.3916621208,
 2.43135E-005,-0.0016295910, 0.3916597366,
 2.44292E-005,-0.0016391277, 0.3911328316,
 2.45450E-005,-0.0016343594, 0.3926110268,
 2.46608E-005,-0.0016236305, 0.3936433792,
 2.47766E-005,-0.0016486645, 0.3927624226,
 2.48924E-005,-0.0016713142, 0.3931117058,
 2.50081E-005,-0.0016510487, 0.3943872452,
 2.51239E-005,-0.0016367435, 0.3942453861,
 2.52397E-005,-0.0016462803, 0.3919732571,
 2.53555E-005,-0.0016236305, 0.3910410404,
 2.54713E-005,-0.0015962124, 0.3915989399,
 2.55870E-005,-0.0015985966, 0.3923857212,
 2.57028E-005,-0.0016200542, 0.3927183151,
