QuickDAQ Data
2019/01/09 21:25:40
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000, 1.69277E-004, 0.0012063980,
 1.15778E-007, 1.70469E-004, 0.0012147427,
 2.31557E-007, 1.47820E-004, 0.0011610985,
 3.47335E-007, 1.57356E-004, 0.0011754036,
 4.63114E-007, 1.63317E-004, 0.0011706352,
 5.78892E-007, 1.60933E-004, 0.0012588501,
 6.94670E-007, 1.69277E-004, 0.0013101101,
 8.10449E-007, 1.62125E-004, 0.0011694431,
 9.26227E-007, 1.63317E-004, 0.0011718273,
 1.04201E-006, 1.72853E-004, 0.0012528896,
 1.15778E-006, 1.56164E-004, 0.0012183189,
 1.27356E-006, 1.40667E-004, 0.0010192394,
 1.38934E-006, 1.53780E-004, 0.0010299683,
 1.50512E-006, 1.68085E-004, 0.0012278557,
 1.62090E-006, 1.70469E-004, 0.0012254715,
 1.73668E-006, 1.76430E-004, 0.0012898445,
 1.85245E-006, 1.80006E-004, 0.0013363361,
 1.96823E-006, 1.80006E-004, 0.0012731552,
 2.08401E-006, 1.63317E-004, 0.0012075901,
 2.19979E-006, 1.49012E-004, 0.0011420250,
 2.31557E-006, 1.64509E-004, 0.0011920929,
 2.43135E-006, 1.70469E-004, 0.0012671947,
 2.54713E-006, 1.65701E-004, 0.0012898445,
 2.66290E-006, 1.71661E-004, 0.0012779236,
 2.77868E-006, 1.63317E-004, 0.0012660027,
 2.89446E-006, 1.53780E-004, 0.0012600422,
 3.01024E-006, 1.51396E-004, 0.0011909008,
 3.12602E-006, 1.68085E-004, 0.0011587143,
 3.24180E-006, 1.59740E-004, 0.0011503696,
 3.35757E-006, 1.34706E-004, 0.0010693073,
 3.47335E-006, 1.22786E-004, 0.0010001659,
 3.58913E-006, 1.34706E-004, 0.0010037422,
 3.70491E-006, 1.59740E-004, 0.0010693073,
 3.82069E-006, 1.50204E-004, 0.0011014938,
 3.93647E-006, 1.76430E-004, 0.0012159348,
 4.05224E-006, 1.78814E-004, 0.0011694431,
 4.16802E-006, 1.47820E-004, 0.0010752678,
 4.28380E-006, 1.71661E-004, 0.0011610985,
 4.39958E-006, 1.77622E-004, 0.0011014938,
 4.51536E-006, 1.58548E-004, 0.0010633469,
 4.63114E-006, 1.64509E-004, 0.0011813641,
 4.74691E-006, 1.70469E-004, 0.0012052059,
 4.86269E-006, 1.56164E-004, 0.0010907650,
 4.97847E-006, 1.62125E-004, 0.0011324883,
 5.09425E-006, 1.59740E-004, 0.0012218952,
 5.21003E-006, 1.54972E-004, 0.0011944771,
 5.32581E-006, 1.70469E-004, 0.0012171268,
 5.44159E-006, 1.68085E-004, 0.0011599064,
 5.55736E-006, 1.59740E-004, 0.0011742115,
 5.67314E-006, 1.46627E-004, 0.0011742115,
 5.78892E-006, 1.46627E-004, 0.0010907650,
 5.90470E-006, 1.46627E-004, 0.0011277199,
 6.02048E-006, 1.53780E-004, 0.0012171268,
 6.13626E-006, 1.43051E-004, 0.0011968613,
 6.25203E-006, 1.38283E-004, 0.0010740757,
 6.36781E-006, 1.50204E-004, 0.0010645390,
 6.48359E-006, 1.49012E-004, 0.0010895729,
 6.59937E-006, 1.47820E-004, 0.0010442734,
 6.71515E-006, 1.43051E-004, 0.0010073185,
 6.83093E-006, 1.56164E-004, 0.0010335445,
 6.94670E-006, 1.54972E-004, 0.0010478497,
 7.06248E-006, 1.53780E-004, 0.0010573864,
 7.17826E-006, 1.66893E-004, 0.0011730194,
 7.29404E-006, 1.59740E-004, 0.0011622906,
 7.40982E-006, 1.62125E-004, 0.0011682510,
 7.52560E-006, 1.77622E-004, 0.0012075901,
 7.64138E-006, 1.68085E-004, 0.0011014938,
 7.75715E-006, 1.68085E-004, 9.93013E-004,
 7.87293E-006, 1.54972E-004, 0.0010466576,
 7.98871E-006, 1.43051E-004, 0.0011539459,
 8.10449E-006, 1.80006E-004, 0.0012719631,
 8.22027E-006, 2.00272E-004, 0.0012981892,
 8.33605E-006, 1.97887E-004, 0.0013399124,
 8.45182E-006, 1.76430E-004, 0.0012719631,
 8.56760E-006, 1.44243E-004, 0.0011467934,
 8.68338E-006, 1.53780E-004, 0.0011837482,
 8.79916E-006, 1.62125E-004, 0.0012004375,
 8.91494E-006, 1.74046E-004, 0.0012445450,
 9.03072E-006, 1.47820E-004, 0.0011777878,
 9.14649E-006, 1.25170E-004, 0.0010907650,
 9.26227E-006, 1.68085E-004, 0.0011718273,
 9.37805E-006, 1.70469E-004, 0.0011456013,
 9.49383E-006, 1.71661E-004, 0.0011599064,
 9.60961E-006, 1.87159E-004, 0.0012028217,
 9.72539E-006, 1.77622E-004, 0.0011944771,
 9.84117E-006, 1.72853E-004, 0.0011813641,
 9.95694E-006, 1.43051E-004, 0.0010693073,
 1.00727E-005, 1.23978E-004, 0.0010025501,
 1.01885E-005, 1.53780E-004, 0.0010395050,
 1.03043E-005, 1.70469E-004, 0.0011563301,
 1.04201E-005, 1.57356E-004, 0.0011897087,
 1.05358E-005, 1.35899E-004, 0.0012195110,
 1.06516E-005, 1.47820E-004, 0.0012528896,
 1.07674E-005, 1.63317E-004, 0.0012028217,
 1.08832E-005, 1.66893E-004, 0.0012171268,
 1.09989E-005, 1.59740E-004, 0.0012290478,
 1.11147E-005, 1.54972E-004, 0.0011956692,
 1.12305E-005, 1.43051E-004, 0.0010931492,
 1.13463E-005, 1.27554E-004, 9.70364E-004,
 1.14621E-005, 1.51396E-004, 9.84669E-004,
 1.15778E-005, 1.25170E-004, 9.22680E-004,
 1.16936E-005, 9.05991E-005, 8.54731E-004,
 1.18094E-005, 1.12057E-004, 8.92878E-004,
 1.19252E-005, 1.23978E-004, 8.20160E-004,
 1.20410E-005, 1.22786E-004, 8.55923E-004,
 1.21567E-005, 1.31130E-004, 8.85725E-004,
 1.22725E-005, 1.60933E-004, 9.78708E-004,
 1.23883E-005, 1.65701E-004, 0.0010335445,
 1.25041E-005, 1.43051E-004, 9.20296E-004,
 1.26198E-005, 1.40667E-004, 9.39369E-004,
 1.27356E-005, 1.57356E-004, 9.76324E-004,
 1.28514E-005, 1.62125E-004, 0.0010716915,
 1.29672E-005, 1.52588E-004, 0.0010406971,
 1.30830E-005, 1.53780E-004, 9.91821E-004,
 1.31987E-005, 1.45435E-004, 0.0010359287,
 1.33145E-005, 1.19209E-004, 9.50098E-004,
 1.34303E-005, 1.15633E-004, 8.83341E-004,
 1.35461E-005, 1.35899E-004, 8.51154E-004,
 1.36619E-005, 1.52588E-004, 9.58443E-004,
 1.37776E-005, 1.41859E-004, 0.0010347366,
 1.38934E-005, 1.39475E-004, 0.0010097027,
 1.40092E-005, 1.32322E-004, 9.70364E-004,
 1.41250E-005, 1.10865E-004, 9.10759E-004,
 1.42407E-005, 1.37091E-004, 9.45330E-004,
 1.43565E-005, 1.50204E-004, 9.76324E-004,
 1.44723E-005, 1.46627E-004, 9.17912E-004,
 1.45881E-005, 1.37091E-004, 8.36849E-004,
 1.47039E-005, 1.35899E-004, 8.49962E-004,
 1.48196E-005, 1.58548E-004, 9.70364E-004,
 1.49354E-005, 1.71661E-004, 0.0010311604,
 1.50512E-005, 1.47820E-004, 9.73940E-004,
 1.51670E-005, 1.34706E-004, 0.0010049343,
 1.52828E-005, 1.54972E-004, 0.0010073185,
 1.53985E-005, 1.66893E-004, 9.85861E-004,
 1.55143E-005, 1.54972E-004, 9.77516E-004,
 1.56301E-005, 1.35899E-004, 0.0010156631,
 1.57459E-005, 1.49012E-004, 0.0010752678,
 1.58616E-005, 1.59740E-004, 0.0011086464,
 1.59774E-005, 1.51396E-004, 0.0011456013,
 1.60932E-005, 1.43051E-004, 0.0010550022,
 1.62090E-005, 1.45435E-004, 0.0010251999,
 1.63248E-005, 1.38283E-004, 0.0011110306,
 1.64405E-005, 1.52588E-004, 0.0011253357,
 1.65563E-005, 1.64509E-004, 0.0011539459,
 1.66721E-005, 1.69277E-004, 0.0012147427,
 1.67879E-005, 1.62125E-004, 0.0011384487,
 1.69036E-005, 1.40667E-004, 0.0010359287,
 1.70194E-005, 1.57356E-004, 0.0010120869,
 1.71352E-005, 1.68085E-004, 0.0010800362,
 1.72510E-005, 1.53780E-004, 0.0011134148,
 1.73668E-005, 1.52588E-004, 0.0011658669,
 1.74825E-005, 1.50204E-004, 0.0011372566,
 1.75983E-005, 1.70469E-004, 0.0011432171,
 1.77141E-005, 1.89543E-004, 0.0012350082,
 1.78299E-005, 1.64509E-004, 0.0010788441,
 1.79457E-005, 1.46627E-004, 0.0010395050,
 1.80614E-005, 1.41859E-004, 0.0011539459,
 1.81772E-005, 1.52588E-004, 0.0012028217,
 1.82930E-005, 1.74046E-004, 0.0012874603,
 1.84088E-005, 1.69277E-004, 0.0012850761,
 1.85245E-005, 1.63317E-004, 0.0012719631,
 1.86403E-005, 1.81198E-004, 0.0012898445,
 1.87561E-005, 1.93119E-004, 0.0013601780,
 1.88719E-005, 1.99080E-004, 0.0013566017,
 1.89877E-005, 1.80006E-004, 0.0013077259,
 1.91034E-005, 1.75238E-004, 0.0012588501,
 1.92192E-005, 1.81198E-004, 0.0011384487,
 1.93350E-005, 1.58548E-004, 0.0011301041,
 1.94508E-005, 1.75238E-004, 0.0012528896,
 1.95666E-005, 1.65701E-004, 0.0012028217,
 1.96823E-005, 1.37091E-004, 0.0010621548,
 1.97981E-005, 1.56164E-004, 0.0011754036,
 1.99139E-005, 1.70469E-004, 0.0012731552,
 2.00297E-005, 1.57356E-004, 0.0012242794,
 2.01454E-005, 1.62125E-004, 0.0011944771,
 2.02612E-005, 1.82390E-004, 0.0012207031,
 2.03770E-005, 1.83582E-004, 0.0013887882,
 2.04928E-005, 1.76430E-004, 0.0014007092,
 2.06086E-005, 1.69277E-004, 0.0012421608,
 2.07243E-005, 1.46627E-004, 0.0011217594,
 2.08401E-005, 1.52588E-004, 0.0011277199,
 2.09559E-005, 1.74046E-004, 0.0012421608,
 2.10717E-005, 1.63317E-004, 0.0011825562,
 2.11874E-005, 1.45435E-004, 0.0011229515,
 2.13032E-005, 1.45435E-004, 0.0011444092,
 2.14190E-005, 1.45435E-004, 0.0010704994,
 2.15348E-005, 1.47820E-004, 0.0011181831,
 2.16506E-005, 1.69277E-004, 0.0011849403,
 2.17663E-005, 1.78814E-004, 0.0012445450,
 2.18821E-005, 1.71661E-004, 0.0012612343,
 2.19979E-005, 1.71661E-004, 0.0011873245,
 2.21137E-005, 1.77622E-004, 0.0011587143,
 2.22295E-005, 1.63317E-004, 0.0011324883,
 2.23452E-005, 1.47820E-004, 0.0011527538,
 2.24610E-005, 1.57356E-004, 0.0011813641,
 2.25768E-005, 1.78814E-004, 0.0012397766,
 2.26926E-005, 1.64509E-004, 0.0012409687,
 2.28083E-005, 1.72853E-004, 0.0012385845,
 2.29241E-005, 1.84774E-004, 0.0012040138,
 2.30399E-005, 1.64509E-004, 0.0011932850,
 2.31557E-005, 1.75238E-004, 0.0012922287,
 2.32715E-005, 1.71661E-004, 0.0012910366,
 2.33872E-005, 1.69277E-004, 0.0012505054,
 2.35030E-005, 1.76430E-004, 0.0012195110,
 2.36188E-005, 1.82390E-004, 0.0012862682,
 2.37346E-005, 1.88351E-004, 0.0012636185,
 2.38504E-005, 1.72853E-004, 0.0011515617,
 2.39661E-005, 1.69277E-004, 0.0011253357,
 2.40819E-005, 1.74046E-004, 0.0011909008,
 2.41977E-005, 1.58548E-004, 0.0012075901,
 2.43135E-005, 1.51396E-004, 0.0012040138,
 2.44292E-005, 1.63317E-004, 0.0011658669,
 2.45450E-005, 1.59740E-004, 0.0010704994,
 2.46608E-005, 1.64509E-004, 0.0011336803,
