QuickDAQ Data
2019/01/12 15:54:20
Notes:,,
Sample Rate:,99.96746, Hz,
Measurement Type,Time Waveform,Time Waveform,
Channel Name,169.254.226.173.AD.1,169.254.226.173.AD.2,
X Axis Units,Sec,Sec,
Y Axis Units,V,V,
Time,Real,Real,
 0.00000E+000, 3.69549E-005,-9.05991E-005,
 1.15778E-007, 1.90735E-005,-7.51019E-005,
 2.31557E-007, 1.78814E-005,-1.78814E-005,
 3.47335E-007, 1.78814E-005,-1.06096E-004,
 4.63114E-007, 0.00000E+000,-1.32322E-004,
 5.78892E-007,-1.19209E-006,-4.29153E-005,
 6.94670E-007, 1.19209E-005,-9.17912E-005,
 8.10449E-007, 1.54972E-005,-4.41074E-005,
 9.26227E-007, 1.43051E-005,-4.52995E-005,
 1.04201E-006, 2.26498E-005,-1.54972E-004,
 1.15778E-006, 2.02656E-005,-1.07288E-004,
 1.27356E-006, 2.02656E-005,-8.22544E-005,
 1.38934E-006, 9.53674E-006,-7.51019E-005,
 1.50512E-006, 2.38419E-006,-4.29153E-005,
 1.62090E-006, 3.69549E-005,-1.12057E-004,
 1.73668E-006, 3.81470E-005,-1.56164E-004,
 1.85245E-006, 3.57628E-006,-1.75238E-004,
 1.96823E-006,-1.19209E-006,-2.05040E-004,
 2.08401E-006, 2.50340E-005,-1.83582E-004,
 2.19979E-006, 2.62260E-005,-9.53674E-005,
 2.31557E-006,-3.57628E-006,-4.76837E-005,
 2.43135E-006, 1.90735E-005,-5.12600E-005,
 2.54713E-006, 4.05312E-005,-1.90735E-005,
 2.66290E-006, 3.45707E-005,-5.72205E-005,
 2.77868E-006, 2.86102E-005,-5.48363E-005,
 2.89446E-006, 3.57628E-006,-8.10623E-005,
 3.01024E-006,-3.57628E-006,-1.10865E-004,
 3.12602E-006, 1.90735E-005,-2.24113E-004,
 3.24180E-006, 3.33786E-005,-1.90735E-004,
 3.35757E-006, 2.86102E-005, 1.18017E-004,
 3.47335E-006, 1.66893E-005, 2.74181E-005,
 3.58913E-006, 3.57628E-006,-8.22544E-005,
 3.70491E-006, 2.38419E-006, 1.19209E-005,
 3.82069E-006, 2.02656E-005, 7.03335E-005,
 3.93647E-006, 2.50340E-005,-5.96046E-006,
 4.05224E-006, 2.14577E-005,-1.90735E-005,
 4.16802E-006, 3.09944E-005, 1.44243E-004,
 4.28380E-006, 3.69549E-005, 5.00679E-005,
 4.39958E-006, 3.33786E-005,-5.72205E-005,
 4.51536E-006, 3.57628E-005,-1.06096E-004,
 4.63114E-006, 2.26498E-005,-6.07967E-005,
 4.74691E-006, 1.78814E-005,-4.76837E-006,
 4.86269E-006, 3.69549E-005,-1.00136E-004,
 4.97847E-006, 2.38419E-005,-2.50340E-005,
 5.09425E-006, 7.15256E-006, 1.19209E-005,
 5.21003E-006, 5.96046E-006,-9.41753E-005,
 5.32581E-006, 7.15256E-006,-1.95503E-004,
 5.44159E-006, 1.31130E-005,-1.01328E-004,
 5.55736E-006, 1.31130E-005,-7.74860E-005,
 5.67314E-006, 1.19209E-006,-2.34842E-004,
 5.78892E-006, 8.34465E-006,-1.91927E-004,
 5.90470E-006, 3.09944E-005,-1.14441E-004,
 6.02048E-006, 3.21865E-005,-2.77758E-004,
 6.13626E-006, 2.86102E-005,-2.62260E-004,
 6.25203E-006, 2.74181E-005,-2.50340E-005,
 6.36781E-006, 1.66893E-005, 5.60284E-005,
 6.48359E-006, 2.74181E-005,-9.17912E-005,
 6.59937E-006, 2.50340E-005,-1.58548E-004,
 6.71515E-006, 7.15256E-006,-1.15633E-004,
 6.83093E-006, 2.38419E-006,-1.87159E-004,
 6.94670E-006, 1.31130E-005,-2.77758E-004,
 7.06248E-006, 2.02656E-005,-1.50204E-004,
 7.17826E-006, 9.53674E-006,-1.02520E-004,
 7.29404E-006,-2.38419E-006,-1.63317E-004,
 7.40982E-006, 4.76837E-006,-1.62125E-004,
 7.52560E-006, 2.02656E-005,-2.77758E-004,
 7.64138E-006, 2.62260E-005,-3.40939E-004,
 7.75715E-006, 3.93391E-005,-1.97887E-004,
 7.87293E-006, 3.93391E-005,-1.95503E-004,
 7.98871E-006, 2.98023E-005,-2.16961E-004,
 8.10449E-006, 1.07288E-005,-2.43187E-004,
 8.22027E-006,-1.19209E-005,-2.36034E-004,
 8.33605E-006,-1.07288E-005,-1.62125E-004,
 8.45182E-006, 2.26498E-005,-2.16961E-004,
 8.56760E-006, 2.86102E-005,-2.86102E-004,
 8.68338E-006, 4.76837E-006,-2.69413E-004,
 8.79916E-006,-1.19209E-006,-1.35899E-004,
 8.91494E-006, 2.38419E-005,-7.62939E-005,
 9.03072E-006, 4.76837E-005,-2.02656E-004,
 9.14649E-006, 3.45707E-005,-3.45707E-004,
 9.26227E-006, 1.19209E-005,-4.25577E-004,
 9.37805E-006, 9.53674E-006,-3.63588E-004,
 9.49383E-006, 2.14577E-005,-4.44651E-004,
 9.60961E-006, 1.31130E-005,-4.42266E-004,
 9.72539E-006, 3.09944E-005,-1.72853E-004,
 9.84117E-006, 3.09944E-005, 2.62260E-005,
 9.95694E-006, 1.07288E-005, 2.26498E-005,
 1.00727E-005, 2.02656E-005,-1.80006E-004,
 1.01885E-005, 7.15256E-006,-3.31402E-004,
 1.03043E-005, 0.00000E+000,-4.89950E-004,
 1.04201E-005, 3.21865E-005,-4.08888E-004,
 1.05358E-005, 3.33786E-005,-4.33922E-004,
 1.06516E-005, 1.90735E-005,-5.30481E-004,
 1.07674E-005, 2.86102E-005,-5.24521E-004,
 1.08832E-005, 2.62260E-005,-3.89814E-004,
 1.09989E-005, 2.98023E-005,-3.00407E-004,
 1.11147E-005, 2.98023E-005,-4.58956E-004,
 1.12305E-005, 2.38419E-006,-4.02927E-004,
 1.13463E-005, 4.76837E-006,-3.07560E-004,
 1.14621E-005, 2.14577E-005,-3.81470E-004,
 1.15778E-005, 2.50340E-005,-4.29153E-004,
 1.16936E-005, 2.26498E-005,-4.36306E-004,
 1.18094E-005, 1.19209E-005,-3.00407E-004,
 1.19252E-005, 7.15256E-006,-2.37226E-004,
 1.20410E-005, 1.90735E-005,-4.19617E-004,
 1.21567E-005, 1.90735E-005,-6.00815E-004,
 1.22725E-005, 1.54972E-005,-7.20024E-004,
 1.23883E-005, 1.07288E-005,-7.42674E-004,
 1.25041E-005,-4.76837E-006,-7.40290E-004,
 1.26198E-005, 2.50340E-005,-6.71148E-004,
 1.27356E-005, 2.86102E-005,-5.76973E-004,
 1.28514E-005, 5.96046E-006,-6.80685E-004,
 1.29672E-005, 1.78814E-005,-7.29561E-004,
 1.30830E-005, 1.78814E-005,-5.80549E-004,
 1.31987E-005, 9.53674E-006,-4.87566E-004,
 1.33145E-005, 1.54972E-005,-6.83069E-004,
 1.34303E-005, 7.15256E-006,-8.26120E-004,
 1.35461E-005, 1.54972E-005,-0.0011944771,
 1.36619E-005, 1.89543E-004,-0.1321387291,
 1.37776E-005, 3.54052E-004,-0.2626883984,
 1.38934E-005, 3.42131E-004,-0.2627706528,
 1.40092E-005, 3.31402E-004,-0.2626681328,
 1.41250E-005, 3.36170E-004,-0.2625238895,
 1.42407E-005, 3.36170E-004,-0.2625381947,
 1.43565E-005, 3.42131E-004,-0.2625739574,
 1.44723E-005, 3.48091E-004,-0.2626061440,
 1.45881E-005, 3.58820E-004,-0.2626514435,
 1.47039E-005, 3.30210E-004,-0.2626645565,
 1.48196E-005, 3.29018E-004,-0.2627754211,
 1.49354E-005, 3.32594E-004,-0.2628219128,
 1.50512E-005, 2.95639E-004,-0.2628004551,
 1.51670E-005, 3.19481E-004,-0.2627134323,
 1.52828E-005, 3.40939E-004,-0.2626883984,
 1.53985E-005, 3.33786E-004,-0.2626991272,
 1.55143E-005, 3.40939E-004,-0.2627515793,
 1.56301E-005, 3.36170E-004,-0.2627432346,
 1.57459E-005, 3.34978E-004,-0.2626800537,
 1.58616E-005, 3.33786E-004,-0.2626800537,
 1.59774E-005, 3.33786E-004,-0.2628850937,
 1.60932E-005, 3.50475E-004,-0.2629697323,
 1.62090E-005, 3.46899E-004,-0.2628409863,
 1.63248E-005, 3.39746E-004,-0.2629017830,
 1.64405E-005, 3.42131E-004,-0.2627837658,
 1.65563E-005, 3.54052E-004,-0.2626299858,
 1.66721E-005, 3.44515E-004,-0.2627444267,
 1.67879E-005, 3.08752E-004,-0.2627730370,
 1.69036E-005, 3.09944E-004,-0.2625703812,
 1.70194E-005, 3.32594E-004,-0.2626562119,
 1.71352E-005, 3.54052E-004,-0.2626585960,
 1.72510E-005, 3.64780E-004,-0.2625238895,
 1.73668E-005, 3.44515E-004,-0.2625679970,
 1.74825E-005, 3.38554E-004,-0.2624297142,
 1.75983E-005, 3.40939E-004,-0.2624464035,
 1.77141E-005, 3.31402E-004,-0.2623867989,
 1.78299E-005, 3.40939E-004,-0.2622616291,
 1.79457E-005, 3.45707E-004,-0.2623271942,
 1.80614E-005, 3.50475E-004,-0.2624106407,
 1.81772E-005, 3.44515E-004,-0.2624475956,
 1.82930E-005, 3.43323E-004,-0.2624034882,
 1.84088E-005, 3.45707E-004,-0.2624344826,
 1.85245E-005, 3.37362E-004,-0.2623927593,
 1.86403E-005, 3.45707E-004,-0.2622735500,
 1.87561E-005, 3.20673E-004,-0.2622056007,
 1.88719E-005, 3.08752E-004,-0.2622210979,
 1.89877E-005, 3.43323E-004,-0.2622938156,
 1.91034E-005, 3.50475E-004,-0.2622914314,
 1.92192E-005, 3.40939E-004,-0.2621734142,
 1.93350E-005, 3.39746E-004,-0.2621042728,
 1.94508E-005, 3.32594E-004,-0.2621054649,
 1.95666E-005, 3.24249E-004,-0.2621805668,
 1.96823E-005, 3.42131E-004,-0.2622926235,
 1.97981E-005, 3.50475E-004,-0.2622187138,
 1.99139E-005, 3.30210E-004,-0.2621185780,
 2.00297E-005, 3.36170E-004,-0.2621185780,
 2.01454E-005, 3.56436E-004,-0.2621662617,
 2.02612E-005, 3.60012E-004,-0.2621722221,
 2.03770E-005, 3.52859E-004,-0.2621650696,
 2.04928E-005, 3.34978E-004,-0.2621352673,
 2.06086E-005, 3.21865E-004,-0.2621698380,
 2.07243E-005, 3.34978E-004,-0.2622067928,
 2.08401E-005, 3.43323E-004,-0.2621161938,
 2.09559E-005, 3.46899E-004,-0.2621829510,
 2.10717E-005, 3.44515E-004,-0.2622556686,
 2.11874E-005, 3.43323E-004,-0.2622759342,
 2.13032E-005, 3.44515E-004,-0.2623391151,
 2.14190E-005, 3.21865E-004,-0.2623724937,
 2.15348E-005, 3.11136E-004,-0.2623140812,
 2.16506E-005, 3.05176E-004,-0.2621829510,
 2.17663E-005, 3.25441E-004,-0.2622663975,
 2.18821E-005, 3.50475E-004,-0.2623939514,
 2.19979E-005, 3.34978E-004,-0.2624499798,
 2.21137E-005, 3.26633E-004,-0.2625179291,
 2.22295E-005, 3.27826E-004,-0.2624535561,
 2.23452E-005, 3.56436E-004,-0.2622997761,
 2.24610E-005, 3.57628E-004,-0.2623009682,
 2.25768E-005, 3.40939E-004,-0.2623045444,
 2.26926E-005, 3.49283E-004,-0.2623569965,
 2.28083E-005, 3.39746E-004,-0.2624213696,
 2.29241E-005, 3.33786E-004,-0.2623629570,
 2.30399E-005, 3.29018E-004,-0.2623999119,
 2.31557E-005, 3.32594E-004,-0.2624273300,
 2.32715E-005, 3.33786E-004,-0.2623832226,
 2.33872E-005, 3.29018E-004,-0.2623164654,
 2.35030E-005, 3.29018E-004,-0.2622199059,
 2.36188E-005, 3.18289E-004,-0.2621972561,
 2.37346E-005, 3.25441E-004,-0.2622091770,
 2.38504E-005, 3.39746E-004,-0.2622926235,
 2.39661E-005, 3.32594E-004,-0.2623629570,
 2.40819E-005, 3.24249E-004,-0.2624011040,
 2.41977E-005, 3.25441E-004,-0.2623879910,
 2.43135E-005, 3.33786E-004,-0.2623867989,
