light,,,,,,,,,,dark (ascending V),,,,,,,,,dark (descending V),,,,,,,
Time stamp,V_lockin,V_applied,,V_drop,I_net (A),I_net (uA),I_bias,Resistance,,Time stamp,V_lockin,V_applied,V_drop,I_net (A),I_net (uA),I_bias,Resistance,,Time stamp,V_lockin,V_applied,V_drop,I_net (A),I_net (uA),I_bias,Resistance
0,-0.5,-0.499147,-4.99147,-0.092456,-0.000212,-212,1.15E-09,435.80467,,0,-0.837505,0,-1.192843,-0.00011,-110,-2.15E-08,10840.0916,,0,0.5,0,0.731927,5.63E-05,5.63E+01,-7.45E-08,12992.5623
4.206702,-0.5,-0.499147,-4.99147,-0.093204,-0.000213,-213,-2.20E-09,438.440417,,29.533337,-0.836505,26,-1.190913,-0.00011,-110,4.27E-08,10858.2358,,3.792083,0.5,433333,0.746077,5.48E-05,5.48E+01,2.64E-08,13603.02375
8.417017,-0.5,-0.499147,-4.99147,-0.092268,-0.000212,-212,1.91E-09,434.86009,,33.359482,-0.835505,0,-1.19538,-0.000109,-109,4.07E-08,10969.5105,,7.586464,0.5,0,0.741043,5.49E-05,5.49E+01,-4.61E-08,13502.03795
12.615414,-0.5,-0.499147,-4.99147,-0.093392,-0.000212,-212,-1.11E-09,440.351312,,37.256666,-0.834505,0,-1.199636,-0.00011,-110,-2.06E-09,10858.855,,11.494414,0.5,10000,0.749769,5.50E-05,5.50E+01,1.82E-08,13637.51788
16.851108,-0.5,-0.499147,-4.99147,-0.093335,-0.000212,-212,-9.90E-10,440.133826,,42.719927,-0.833505,26,-1.199631,-0.000109,-109,2.64E-09,10980.8161,,15.502694,0.5,0,0.746288,5.50E-05,5.50E+01,-4.54E-08,13573.61443
21.046789,-0.5,-0.499147,-4.99147,-0.093301,-0.000212,-212,-1.08E-09,439.551015,,46.562284,-0.832505,0,-1.200074,-0.000108,-108,-1.71E-08,11070.5762,,20.730583,0.5,0,0.754873,5.51E-05,5.51E+01,2.36E-08,13709.8488
25.242441,-0.499,-0.497133,-4.97133,-0.093254,-0.000212,-212,6.00E-11,438.930002,,53.507191,-0.831505,0,-1.198525,-0.000108,-108,-9.42E-09,11052.273,,24.513246,0.5,0,0.750393,5.50E-05,5.50E+01,-3.00E-08,13634.46069
29.44792,-0.498,-0.497194,-4.97194,-0.093443,-0.000212,-212,5.60E-10,440.499919,,57.298019,-0.830505,0,-1.197798,-0.000108,-108,1.80E-08,11087.8751,,29.768789,0.5,0,0.756084,5.51E-05,5.51E+01,1.20E-08,13721.79312
33.656347,-0.497,-0.49518,-4.9518,-0.09373,-0.000212,-212,7.20E-10,442.938513,,63.803132,-0.829505,26,-1.199803,-0.000108,-108,-1.75E-08,11146.703,,33.552251,0.5,0,0.753774,5.52E-05,5.52E+01,-4.11E-08,13666.84478
37.862212,-0.496,-0.49518,-4.9518,-0.094049,-0.000211,-211,-1.43E-09,445.782631,,67.592225,-0.828505,-0.828556,-1.198252,-0.000108,-108,-2.02E-08,11124.9126,,37.351107,0.5,0.498964,0.761567,5.52E-05,5.52E+01,1.03E-08,13807.63874
42.073268,-0.495,-0.493166,-4.93166,-0.093939,-0.000211,-211,-2.90E-10,444.384881,,71.392342,-0.827505,-0.826481,-1.196461,-0.000107,-107,1.51E-08,11147.0516,,41.14425,0.5,0.498964,0.759562,5.52E-05,5.52E+01,-3.44E-08,13750.51407
46.289197,-0.494,-0.493166,-4.93166,-0.094053,-0.00021,-210,-1.24E-09,447.066355,,75.196218,-0.826505,-0.826481,-1.198155,-0.000107,-107,-5.46E-09,11197.577,,44.92662,0.5,0.498964,0.766092,5.53E-05,5.53E+01,2.22E-08,13858.15539
50.49235,-0.493,-0.491152,-4.91152,-0.093979,-0.000211,-211,-2.22E-09,445.810858,,79.010079,-0.825505,-0.824528,-1.197805,-0.000107,-107,1.20E-08,11239.2626,,48.732487,0.5,0.498964,0.761874,5.53E-05,5.53E+01,-2.56E-08,13776.92759
54.7077,-0.492,-0.491152,-4.91152,-0.093706,-0.00021,-210,1.90E-10,446.7255,,82.843007,-0.824505,-0.824528,-1.199181,-0.000107,-107,-1.50E-08,11224.7592,,52.53716,0.5,0.498964,0.766712,5.54E-05,5.54E+01,-2.74E-09,13850.69333
58.90458,-0.491,-0.489199,-4.89199,-0.093913,-0.000209,-209,2.00E-10,448.775894,,86.635402,-0.823505,-0.822514,-1.197902,-0.000106,-106,-2.68E-08,11320.1421,,56.350567,0.5,0.498964,0.767225,5.53E-05,5.53E+01,-9.50E-09,13862.77231
63.124282,-0.49,-0.489199,-4.89199,-0.094123,-0.000209,-209,4.40E-10,451.191532,,90.467394,-0.822505,-0.822514,-1.19538,-0.000106,-106,-2.81E-08,11327.3183,,60.14578,0.5,0.498964,0.769025,5.54E-05,5.54E+01,-5.80E-10,13884.08249
67.33625,-0.489,-0.487185,-4.87185,-0.094384,-0.000209,-209,-2.24E-09,451.74565,,94.267874,-0.821505,-0.82056,-1.192738,-0.000106,-106,-1.08E-08,11211.3036,,63.971472,0.5,0.498964,0.769017,5.54E-05,5.54E+01,-5.97E-09,13871.50688
71.543329,-0.488,-0.487185,-4.87185,-0.094108,-0.000208,-208,-4.00E-10,453.18397,,98.083513,-0.820505,-0.82056,-1.191839,-0.000105,-105,-2.38E-08,11383.963,,67.777297,0.5,0.498964,0.769161,5.54E-05,5.54E+01,-1.56E-08,13871.44896
