300K to 150K,5K/min,,,,,,100K to 380K,5K/min,,,,,,380K to 300K,5K/min,,,,,,300K to 100K,14K/min,,,,,,100K to 300K,15K/min,,,,
Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms),,Time Stamp (sec),Temperature (K),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 1 Resistance (Ohms)
14577512.59,299.988739,0.015443863,9.989999771,2.18E-05,15.44386299,,14580899.81,100.0723991,,0.12824,,,,14584363.28,380.0147858,0.025568177,9.989999771,5.46E-05,25.56817688,,14584991.5,299.7811584,0.014904735,9.989999771,2.30E-05,14.90473549,,14586376.78,99.57685089,242.5011816,0.01204,302.2339161,242501.1816
14577749.77,297.9630585,0.015198998,9.989999771,1.68E-05,15.19899845,,14580932.69,102.4441986,,0.002,,,,14584392.22,377.7097473,0.025283303,9.989999771,5.46E-05,25.28330254,,14585088.22,289.0676117,0.013916861,9.989999771,4.27E-05,13.91686054,,14586576.3,100.4976997,316.2901328,0.00988,374.7269108,316290.1328
14577951.31,300.0019989,0.015113795,9.989999771,0.000139093,15.11379456,,14580956.44,104.3508987,,0.002,,,,14584429.34,375.7070465,0.024941108,9.989999771,6.81E-05,24.94110756,,14585141.52,279.0355072,0.012960113,9.989999771,3.73E-05,12.96011341,,14586605.05,112.0051498,-157.7557894,0.03312,345.9381745,-157755.7894
14578014.91,297.8057556,0.014947097,9.989999771,4.28E-05,14.94709743,,14580980.48,106.4149513,,0.002,,,,14584456.98,373.4365387,0.024676645,9.989999771,4.82E-05,24.6766452,,14585194.8,269.1758575,0.01238409,9.989999771,3.94E-05,12.38409004,,14586636.14,121.8793526,407.5203902,0.061000001,295.2192483,407520.3902
14578057.64,295.5467987,0.014757382,9.989999771,1.80E-05,14.75738152,,14581003.59,108.34655,,0.002,,,,14584472.78,371.4497375,0.024358056,9.989999771,5.36E-05,24.35805618,,14585249.58,259.1650543,0.016250368,9.989999771,0.000312918,16.25036789,,14586669.53,132.0197983,320.3474438,0.09588,67.85752613,320347.4438
14578076.84,293.4710388,0.014608984,9.989999771,1.86E-05,14.60898438,,14581028.27,110.4088478,,0.002,,,,14584487.56,369.3462982,0.024057796,9.989999771,7.88E-05,24.05779556,,14585305.23,249.2212524,0.012887664,9.989999771,0.000116576,12.88766369,,14586706.89,141.4605484,297.0612536,0.11788,146.6785723,297061.2536
14578093.78,291.4037476,0.014393071,9.989999771,2.25E-05,14.39307079,,14581051.22,112.3144493,,0.002,,,,14584501.27,367.232254,0.023742911,9.989999771,4.64E-05,23.742911,,14585362.22,239.1434021,0.009784394,9.989999771,0.000140068,9.784393997,,14586746.72,151.6903458,3.867314541,9.359999903,0.494180975,3867.314541
14578108.89,289.384552,0.014209591,9.989999771,3.45E-05,14.20959095,,14581075.19,114.3153,,0.002,,,,14584513.77,365.2073059,0.023442451,9.989999771,5.28E-05,23.44245087,,14585421.16,229.0592041,0.008908574,9.989999771,8.54E-05,8.908573837,,14586789.11,160.991951,0.571202166,9.989999771,0.056377102,571.2021655
14578123.25,287.388855,0.014043113,9.989999771,4.74E-05,14.04311329,,14581099.41,116.3353004,,0.002,,,,14584526.11,363.1261444,0.023151215,9.989999771,6.21E-05,23.15121544,,14585480.63,219.0543976,0.009836102,9.989999771,7.44E-05,9.836101799,,14586834.34,171.2100525,0.101947592,9.989999771,0.007816759,101.9475916
