[Header]
; Copyright 1997-99, Quantum Design, Inc. All rights reserved.
TITLE, PPMS Log Data File
FILEOPENTIME,14575207.69,6/18/2019,4:49 PM
BYAPP, LogData, 1.1, 2.0
INFO, APPNAME, PPMS MultiVu Application, 1.5.11
FIELDGROUP, Standard,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
FIELDGROUP, Diagnostic,2,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
FIELDGROUP, User,2,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
FIELDGROUP, MAP User,2,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
STARTUPGROUP, All
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 4, LINEAR, AUTO
TIMEMODE, MINUTES, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
RECORDS, ALL_RECORDS
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 (),System Status (code),Setpoint (K),Magnet (Oe),Valve Position (deg),CIG/Cernox (K),CIG Excit (uA),Plat Therm (K),Plat Excit (uA),Neck Therm (K),Neck Excit (uA),Spare Therm (K),Spare Excit (uA),Flow Rate (l/min),Annulus Vacuum (V),Impedance (mode),Block Htr Cur (mA),Block Htr Pwr (W),Neck Htr Cur (mA),Neck Htr Pwr (W),Annulus Pres (Torr),System Pres (Torr),Tableless Map53 (),Tableless Map54 (),Redirected 55 (),Redirected 56 (),Redirected 57 (),Redirected 58 (),Redirected 59 (),Redirected 60 (),Redirected 61 (),Seq Stat (),Sys Temp (),He Level (),Map 67 (),Map 68 (),Map 69 (),PSU Field (Oe),Hi res (A) read,Mag (V) read,Mag adj/sc(I)set,Sw heater state,DAC <I> (cnts),Therm v,KRPMs,Pump temp (C),Pump power (W),High Vacuum mode,Flapper state,Regen htr flag,iso flag,BlockHeater(Ohm),NeckHeater(Ohm),Last 2 eng st,Hires enable,Mag (V) set,Map 89 (),Map 90 (),Map 91 (),Map 92 (),Map 93 (),MAP 1,MAP 2,MAP 3,MAP 4,MAP 5,MAP 6,MAP 7,MAP 8,MAP 9,MAP 10,MAP 11,MAP 12,MAP 13,MAP 14,MAP 15,MAP 16,MAP 17,MAP 18,MAP 19,MAP 20,MAP 21,MAP 22,MAP 23,MAP 24,MAP 25,MAP 26,MAP 27,MAP 28,MAP 29,MAP 30
,14575207.78,4374,274.9877,0.015373,0.000,-4.5451069,9.990,-4.0187473,9.990,,0.002,,0.002,0.0049,-0.0049,0,0.00,0.00,0.00,0.00,7.4227085,,399.9998474,399.9998474,439.8695679,,,,,,,4358,277.590,0.015,-0.9,276.9940796,116.268,274.9877319,911.089,252.0030060,122.130,,,0.261552,3.619932,0.0,888.40,19.99661,810.99,14.30225,-0.8250557,25.500275,,,,,,,,,,43.0,275.0385,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3360367,21.7457504,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575217.72,4374,276.6737,0.015373,0.000,-1.6417238,9.990,-4.2200480,9.990,,0.002,,0.002,-0.0049,0.0049,0,0.00,0.00,0.00,0.00,7.4227085,,399.9998474,399.9998474,439.8695679,,,,,,,4358,279.213,0.015,-0.9,278.7227173,116.268,276.6737366,906.204,253.6471405,122.130,,,0.261552,3.610161,0.0,888.40,19.99661,810.99,14.31215,-0.4125278,25.861250,,,,,,,,,,43.0,276.7309,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3360367,21.7457504,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575227.77,4374,278.3160,0.015373,0.000,-380.8874817,9.990,,1.776,,0.002,,0.002,0.0195,0.0000,0,0.00,0.00,0.00,0.00,7.4227085,,399.9998474,,439.8695679,,,,,,,4358,280.905,0.015,-0.9,280.3648682,116.268,278.3770142,901.319,255.2954407,122.130,,,0.261552,3.634587,0.0,888.40,19.99661,810.99,14.31646,-0.4125278,24.778324,,,,,,,,,,43.0,278.3770,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3360367,21.7758694,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575237.86,4374,279.9625,0.015373,0.000,-2.9591515,9.990,-3.5416617,9.990,,0.002,,0.005,-0.0049,-0.0049,0,0.00,0.00,0.00,0.00,7.2758770,,399.9998474,399.9998474,439.8695679,,,,,,,4358,282.493,0.015,-0.9,282.0174255,116.268,280.0385437,893.991,256.9304199,122.130,,,0.259740,3.634587,0.0,888.16,19.99111,810.74,14.31775,0.4125278,23.695398,,,,,,,,,,43.0,280.0385,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3430042,21.7824268,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575247.83,4374,281.6339,0.015373,0.000,-1.2171555e4,1.512,-4.7343640,9.917,,0.002,,0.002,-0.0049,0.0195,0,0.00,0.00,0.00,0.00,7.4972320,,399.9998474,399.9998474,439.8695679,,,,,,,4358,284.165,0.015,-0.9,283.6649475,116.268,281.6338501,889.106,258.5931396,127.992,,,0.257921,3.624817,0.0,888.16,19.99111,810.74,14.32765,-0.4125278,25.861250,,,,,,,,,,43.0,281.6927,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3430042,21.7974911,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575257.94,4374,283.2633,0.015373,0.000,-2.2359729,9.990,-3.8327990,9.990,,0.002,,0.002,-0.0049,0.0049,0,0.00,0.00,0.00,0.00,7.2758770,,399.9998474,399.9998474,439.8695679,,,,,,,4358,285.843,0.015,-0.9,285.2752991,121.886,283.2633057,884.221,260.2038879,127.992,,,0.259740,3.619932,0.0,888.16,19.99111,810.74,14.33755,-1.2375835,24.778324,,,,,,,,,,43.0,283.3198,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3430042,21.7974911,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575267.97,4374,284.8966,0.015373,0.000,-0.2322445,9.990,-2.6375799,9.990,,0.002,,0.002,0.0049,0.0147,0,0.00,0.00,0.00,0.00,7.6485310,,399.9998474,399.9998474,439.8695679,,,,,,,4358,287.473,0.015,-0.9,286.8633118,121.886,284.9573364,879.336,261.7924500,127.992,,,0.266950,3.634587,0.0,888.16,19.99111,810.74,14.33755,0.4125278,24.056374,,,,,,,,,,43.0,284.9573,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3430042,21.8125553,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575277.78,4374,286.5010,0.015373,0.000,-2.1478798,9.990,-5.7576017,9.990,,0.002,,0.002,0.0049,0.0147,0,0.00,0.00,0.00,0.00,7.7253218,,399.9998474,399.9998474,439.8695679,,,,,,,4358,289.007,0.015,-0.9,288.5070801,121.886,286.5009766,872.008,263.4153442,127.992,,,0.265157,3.615047,0.0,888.16,19.99111,810.74,14.34745,-1.2375835,25.500275,,,,,,,,,,43.0,286.5010,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3430042,21.8276196,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575287.91,4374,288.0981,0.015373,0.000,-4.5765162,9.990,-6.5643463,9.990,,0.002,,0.002,0.0049,0.0049,0,0.00,0.00,0.00,0.00,7.3489261,,399.9998474,399.9998474,439.8695679,,,,,,,4358,290.653,0.015,-0.9,290.1203308,121.886,288.0980530,867.123,264.9873657,127.992,,,0.261552,3.624817,0.0,888.16,19.99111,810.74,14.35735,-0.8250557,25.861250,,,,,,,,,,43.0,288.1755,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3430042,21.8426819,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14575297.75,4374,289.6802,0.015373,0.000,-2.6349061,9.990,-2.7976301,9.990,,0.002,,0.002,0.0049,0.0000,0,0.00,0.00,0.00,0.00,7.7253218,,399.9998474,399.9998474,439.8695679,,,,,,,4358,292.208,0.015,-0.9,291.6874695,121.886,289.7402649,862.237,266.6502991,127.992,,,0.259740,3.619932,0.0,888.16,19.99111,810.74,14.36725,-0.8250557,24.417349,,,,,,,,,,43.0,289.7403,73.4,,,,1.5373000e-2,120.0000000,5.0000000,0.00,0.00,0.00,2.5000000,,,,0.00,1.0000000,0.00,0.00,25.3430042,21.8577480,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
