Temperature (K)	Bridge 1 Resistivity (Ohm)	Bridge 2 Resistivity (Ohm)
300.0210419	78.14495209	69.11149109
300.1190948	78.12929962	69.09743317
300.3232574	78.11545013	69.08721283
300.5628357	78.06246979	69.04697174
300.7734985	78.02240814	69.0114682
300.916153	77.97844757	68.97487183
301.0753021	77.94805573	68.95031891
301.243454	77.9236673	68.92982452
301.4277496	77.87344574	68.88922119
301.593338	77.85609467	68.87682068
301.7722931	77.79595612	68.8259671
301.942749	77.76282715	68.79922485
302.1129456	77.71839233	68.76289124
302.2834473	77.68673828	68.73728424
302.4626465	77.64018372	68.69932465
302.6443024	77.60202454	68.66824463
302.8280487	77.55465088	68.62997101
302.9868011	77.51128204	68.5892337
303.1695862	77.47463318	68.56498291
303.3286438	77.42522552	68.52467346
303.5053101	77.3975943	68.50264496
303.6757507	77.3618927	68.47306427
303.8575592	77.31470886	68.43649994
304.0157928	77.28580994	68.41326385
304.1958008	77.23564148	68.37290131
304.3657074	77.1955661	68.34528229
304.5362549	77.15655701	68.30896393
304.6931458	77.11790131	68.27718353
304.8719482	77.07927185	68.24654205
305.0408478	77.05109741	68.22500092
305.229599	76.99585876	68.1797937
305.394104	76.95778351	68.14998199
305.568161	76.91745026	68.1172644
305.7317047	76.87668488	68.08410217
305.9070587	76.83860626	68.05327972
306.0751038	76.79397552	68.01913727
306.2621002	76.75744446	67.9885672
306.4223938	76.70849701	67.94883728
306.5861053	76.6827951	67.92929443
306.7378387	76.65513245	67.9064032
306.9094543	76.60616241	67.86796417
307.0799408	76.57199524	67.84161957
307.2564545	76.52393677	67.80276367
307.430542	76.50171936	67.782565
307.6026001	76.44336639	67.73857391
307.7688599	76.41063904	67.70778717
307.9476013	76.36515778	67.67617828
308.1115417	76.32822418	67.64570618
308.2857971	76.28941864	67.61720398
308.4593506	76.24094543	67.57553741
308.6421051	76.20846741	67.55231659
308.8083496	76.17647186	67.52726105
308.9812469	76.13032806	67.48993988
309.1381073	76.10415009	67.46903992
309.3181915	76.05044373	67.42684357
309.4790039	76.00476898	67.38832947
309.6562042	75.97475189	67.3658725
309.8146973	75.92841431	67.32931885
309.9879608	75.89934601	67.30601074
310.1552429	75.87482056	67.28752563
310.3249054	75.82031372	67.24333466
310.4989929	75.78717743	67.21732788
310.6779022	75.74075256	67.1796228
310.8456573	75.71553772	67.15807068
311.0223083	75.66391724	67.1184671
311.1798553	75.61455292	67.07828583
311.3526459	75.58830536	67.05809509
311.5077362	75.5564743	67.03192444
311.6756592	75.51403595	66.99894348
311.8649445	75.47892914	66.97432129
312.0538483	75.43023102	66.9323291
312.2108002	75.3868692	66.89670715
312.3887634	75.35448151	66.87158722
312.5522614	75.31803223	66.84217377
312.7222595	75.28112823	66.81282013
312.8977966	75.25659882	66.79606384
313.0836487	75.20214813	66.74979797
313.2635956	75.16175018	66.71973877
313.4347534	75.12405792	66.6871106
313.5969391	75.09587799	66.66457184
313.7700043	75.04985443	66.62812012
313.9481964	75.01609375	66.60178833
314.1525574	74.96570862	66.56054993
314.3101044	74.92747192	66.52829498
314.4852448	74.89407715	66.50348175
314.6515045	74.8714682	66.48558167
314.807312	74.82387482	66.44679474
314.9745026	74.7997702	66.42935944
315.1500854	74.74827362	66.38645691
315.3255005	74.70640594	66.35212677
315.4999542	74.67312164	66.32657623
315.656311	74.64423279	66.3016626
315.8303986	74.603591	66.26983887
316.0056458	74.56240112	66.23694794
316.1817627	74.52621918	66.20788727
316.3354034	74.48712921	66.1751886
316.5113983	74.4505426	66.14616241
316.6776581	74.40947388	66.11260803
316.8542633	74.3783252	66.08804474
317.0198517	74.33627472	66.05377258
317.2052002	74.30379822	66.02824799
317.3681946	74.27419189	66.00482635
317.5400085	74.23080383	65.96888611
317.6976929	74.19405853	65.93939423
317.8757935	74.1612796	65.91293793
318.0397949	74.12332581	65.88258301
318.2063446	74.09010345	65.85632721
318.3704529	74.06473145	65.83685883
318.5503082	74.01849976	65.79881622
318.7153473	73.99092133	65.77685181
318.8804626	73.94747925	65.74147827
319.0355988	73.91104187	65.7112027
319.2116089	73.8787793	65.68508179
319.3733521	73.84153107	65.65398651
319.555542	73.80570282	65.62451538
319.7221985	73.76385284	65.59229736
319.9108582	73.73216125	65.56375244
320.0687866	73.69838409	65.53630157
320.2264404	73.66538452	65.50945831
320.3874969	73.63491516	65.48260254
320.5713043	73.59575012	65.45184631
320.7399445	73.57413147	65.42998718
320.9117432	73.5310614	65.39363129
321.0820618	73.48344635	65.35716553
321.2633972	73.4537915	65.33325531
321.4362488	73.40991821	65.29269562
321.6044922	73.37928802	65.2737265
321.7668457	73.34301086	65.24164551
321.955658	73.30856598	65.21660095
322.1248932	73.26990143	65.18443726
322.2845459	73.24015594	65.16063995
322.4367523	73.19162628	65.11921387
322.6178131	73.17165955	65.10460205
322.799408	73.14070892	65.07936279
322.9678497	73.10026001	65.04627289
323.1240082	73.07734772	65.02891724
323.3040466	73.03156128	64.99027863
323.4752045	73.00863892	64.96752167
323.6606445	72.96145172	64.93295624
323.8430481	72.91595734	64.89671143
324.0189056	72.88904297	64.87345978
324.1880035	72.84955902	64.84267242
324.3592987	72.81906036	64.81619934
324.5186005	72.78648041	64.78924255
324.695694	72.75009521	64.75929901
324.854248	72.71773712	64.73336945
325.0247498	72.68289337	64.70446655
325.197403	72.65520569	64.6824054
325.3674622	72.61384552	64.6475885
325.541748	72.5875119	64.62556152
325.7249908	72.54045471	64.58773865
325.8784943	72.52249298	64.57358459
326.0570526	72.47621155	64.53488373
326.2070465	72.44621094	64.51037354
326.3791046	72.41124634	64.48162323
326.565094	72.37249084	64.45044525
326.7582092	72.33719025	64.42092377
326.9216461	72.30948639	64.39993164
327.0929413	72.2696933	64.36507355
327.2563019	72.2368689	64.33750031
327.4389954	72.20256226	64.30992645
327.6066589	72.16636444	64.27994171
327.7866058	72.13344604	64.25311035
327.9515991	72.10704926	64.23186249
328.1300507	72.06734222	64.19859558
328.290802	72.04205139	64.17730591
328.4706421	71.99986664	64.14335968
328.6371002	71.97286163	64.12125732
328.8235474	71.93079651	64.08625244
328.9894104	71.90181793	64.06322174
329.1641998	71.86264923	64.03021149
329.3386536	71.82049835	63.99501617
329.511795	71.79455414	63.97422379
329.6845093	71.75429199	63.94036133
329.8522034	71.72910828	63.92048691
330.0219574	71.68272491	63.88796692
330.2018433	71.65874512	63.86301315
330.3874512	71.61947418	63.82848404
330.562149	71.58841583	63.80502777
330.7346039	71.54613312	63.77464615
330.9162445	71.51540253	63.74513321
331.0817413	71.48585297	63.72164413
331.2547607	71.45104492	63.69195328
331.4232025	71.41684601	63.66301865
331.5926361	71.38519836	63.63794403
331.7498016	71.35722168	63.61478149
331.9287415	71.32003754	63.58413712
332.1087036	71.29258057	63.5612291
332.2873535	71.25234924	63.52832932
332.4519958	71.20944672	63.49286514
332.6225128	71.1875705	63.47491714
332.801239	71.15211578	63.44607208
332.9814453	71.12037903	63.41924133
333.1627045	71.08851654	63.39373688
333.3213043	71.05353149	63.36366165
333.4963989	71.03175842	63.34626968
333.6821442	70.98534668	63.30815109
333.8471985	70.9637146	63.28885834
334.0245514	70.92150238	63.25498749
334.1881561	70.87860413	63.21699509
334.3598022	70.85937866	63.20303482
334.5211945	70.81592072	63.16542999
334.6911621	70.79792908	63.15153885
334.8604431	70.75712738	63.11708054
335.0444946	70.73072296	63.0964061
335.2089386	70.69715149	63.06739746
335.3805084	70.66981903	63.04523224
335.5366516	70.63879395	63.01913055
335.7068481	70.6077951	62.99330093
335.8880005	70.57962524	62.96911697
336.0787964	70.54007477	62.93718307
336.2464447	70.49844696	62.90185684
336.401947	70.47774323	62.88504761
336.5861969	70.45591431	62.86957687
336.7732086	70.41024384	62.82878159
336.9408569	70.3801123	62.80181107
337.1225128	70.34374481	62.77323654
337.2874451	70.31229706	62.74772141
337.4678497	70.28011566	62.72091431
337.6314392	70.25032013	62.69440048
337.8236542	70.21585388	62.66656158
337.9756622	70.17924774	62.63627518
338.1561432	70.15291443	62.61470779
338.3267975	70.11617401	62.58276306
338.4992523	70.0904306	62.56173691
338.6894531	70.05192505	62.53190872
338.8742981	70.02211273	62.50487976
339.0354919	69.98929321	62.47621933
339.2093964	69.9574295	62.45073502
339.3765564	69.92584717	62.42447235
339.5519409	69.89616119	62.39965897
339.7227478	69.86415161	62.3685704
339.9134979	69.82964325	62.34403702
340.0878448	69.81697479	62.33027481
340.2659454	69.76913116	62.29412216
340.4402466	69.73701965	62.26689285
340.6034393	69.70704315	62.24170807
340.7903442	69.67200531	62.20972672
340.9766083	69.64249725	62.18751801
341.1442871	69.60711945	62.15798187
341.3186951	69.57883911	62.13408096
341.4927979	69.54059875	62.10579285
341.6598511	69.5181781	62.08314804
341.838913	69.4804837	62.04829391
342.0378876	69.4519043	62.02752899
342.2075043	69.43195099	62.00970459
