Temperature             Resistance
(Kelvin)                (Ohms)

1.19901622374325E+00   5.78917117425722E+04
1.30197403398080E+00   4.55777609994719E+04
1.39999390063624E+00   3.73918912444948E+04
1.60054831593376E+00   2.66435800477660E+04
1.80137860100157E+00   2.02475731372797E+04
2.00434638925292E+00   1.60864557369091E+04
2.19716398663690E+00   1.33597456162305E+04
2.39999794048238E+00   1.12833482278073E+04
2.59715337999305E+00   9.77578332872515E+03
2.80382059043689E+00   8.56365430133107E+03
2.99676893155937E+00   7.66786254891004E+03
3.19685122835500E+00   6.91774572666308E+03
3.40179515976119E+00   6.28688717786362E+03
3.59627265876953E+00   5.78709119546175E+03
3.80168735469880E+00   5.34045670675110E+03
3.99651551263606E+00   4.97873051096364E+03
4.19220614861943E+00   4.66243990494177E+03
4.63827179676233E+00   4.08318841809659E+03
5.03459094841149E+00   3.68179783169804E+03
5.53640966496252E+00   3.28290966433543E+03
6.24877544907804E+00   2.85829371169357E+03
7.06437457447529E+00   2.50149458617624E+03
8.08217839193802E+00   2.17601725986653E+03
9.10559546343820E+00   1.93403915447872E+03
1.01291217701393E+01   1.74736287444949E+03
1.11495287078256E+01   1.59907829078635E+03
1.21662812411498E+01   1.47774853664762E+03
1.31708755910631E+01   1.37716301836293E+03
1.41647801956690E+01   1.29227343357416E+03
1.51517368382652E+01   1.21898493710790E+03
1.61320815578203E+01   1.15514611428049E+03
1.71086615961759E+01   1.09867002597353E+03
1.80864300681322E+01   1.04801911011682E+03
1.90647840574614E+01   1.00220583616441E+03
2.00430320249734E+01   9.60719124132565E+02
2.11202430973015E+01   9.19176366013163E+02
2.27079813505004E+01   8.64526865837476E+02
2.43114509990494E+01   8.16142107177168E+02
2.59147298140077E+01   7.73158425628537E+02
2.75335949982201E+01   7.34338827211548E+02
2.91548391060958E+01   6.99491402550455E+02
3.09678384575443E+01   6.64178350997022E+02
3.30836954276049E+01   6.27544008920543E+02
3.60874388091021E+01   5.81990743911477E+02
3.90810710131127E+01   5.42977330998772E+02
4.20776923966739E+01   5.08953665944803E+02
4.50631235285345E+01   4.79096088209505E+02
4.80675734014219E+01   4.52427778342721E+02
5.00637053591845E+01   4.36343790012411E+02
5.50708485004217E+01   4.00645178334338E+02
6.00702773590228E+01   3.70449564882566E+02
6.50657675224935E+01   3.44514223854496E+02
7.00652803673880E+01   3.21963065874942E+02
7.50604322217887E+01   3.02236267885927E+02
8.00566769473819E+01   2.84693444167047E+02
8.50513847518320E+01   2.69097974837933E+02
9.00489438882248E+01   2.55082328683304E+02
9.50397626836848E+01   2.42413931151464E+02
1.00044518071396E+02   2.30927999895817E+02
1.10042606960759E+02   2.10835873250705E+02
1.20043517125952E+02   1.93849298102897E+02
1.30043872415647E+02   1.79299824328165E+02
1.40035920340101E+02   1.66706867072651E+02
1.50032455974491E+02   1.55707269454942E+02
1.60032519522014E+02   1.46008619580311E+02
1.70034127464204E+02   1.37400373410833E+02
1.80032393690045E+02   1.29734107483743E+02
1.90028310840543E+02   1.22852174434313E+02
2.00022046762197E+02   1.16659758953570E+02
2.10025778801086E+02   1.11048159952253E+02
2.20032282117608E+02   1.05953705081453E+02
2.30026176891180E+02   1.01311634800113E+02
2.40025536297352E+02   9.70504665660387E+01
2.50029914952683E+02   9.31665869935579E+01
2.60015949345400E+02   8.95822240889410E+01
2.70032739225583E+02   8.62627393639251E+01
2.80016726983467E+02   8.32107399964978E+01
2.90029433963527E+02   8.03753404776722E+01
3.00024372036792E+02   7.77391897627496E+01
3.10021273452692E+02   7.52909150005584E+01
3.15022758021437E+02   7.41262362824135E+01
3.20012046902874E+02   7.30094599424302E+01
3.26294754352965E+02   7.16519852473623E+01
3.31481621671212E+02   7.05691519239682E+01
