	Temperature	Resistance
	(Kelvin)	(Ohms)
		
0.07882506	1.20E+00	5.79E+04
0.114602323	1.30E+00	4.56E+04
0.146126144	1.40E+00	3.74E+04
0.204268789	1.60E+00	2.66E+04
0.255604999	1.80E+00	2.02E+04
0.301972778	2.00E+00	1.61E+04
0.341862472	2.20E+00	1.34E+04
0.380210869	2.40E+00	1.13E+04
0.414497599	2.60E+00	9.78E+03
0.447750221	2.80E+00	8.56E+03
0.476653258	3.00E+00	7.67E+03
0.504722426	3.20E+00	6.92E+03
0.531708159	3.40E+00	6.29E+03
0.555852611	3.60E+00	5.79E+03
0.579976398	3.80E+00	5.34E+03
0.601681503	4.00E+00	4.98E+03
0.622442631	4.19E+00	4.66E+03
0.666356194	4.64E+00	4.08E+03
0.701964191	5.03E+00	3.68E+03
0.743228218	5.54E+00	3.28E+03
0.795794918	6.25E+00	2.86E+03
0.849073719	7.06E+00	2.50E+03
0.907528432	8.08E+00	2.18E+03
0.959308352	9.11E+00	1.93E+03
1.005571792	1.01E+01	1.75E+03
1.04725651	1.11E+01	1.60E+03
1.085157852	1.22E+01	1.48E+03
1.119614648	1.32E+01	1.38E+03
1.15120984	1.42E+01	1.29E+03
1.180462419	1.52E+01	1.22E+03
1.207690409	1.61E+01	1.16E+03
1.233216036	1.71E+01	1.10E+03
1.257352853	1.81E+01	1.05E+03
1.28023189	1.91E+01	1.00E+03
1.30196342	2.00E+01	9.61E+02
1.324698913	2.11E+01	9.19E+02
1.356178529	2.27E+01	8.65E+02
1.38581088	2.43E+01	8.16E+02
1.413546685	2.59E+01	7.73E+02
1.43986292	2.75E+01	7.34E+02
1.464710649	2.92E+01	6.99E+02
1.490910893	3.10E+01	6.64E+02
1.519614014	3.31E+01	6.28E+02
1.55735606	3.61E+01	5.82E+02
1.591966457	3.91E+01	5.43E+02
1.624051914	4.21E+01	5.09E+02
1.653821291	4.51E+01	4.79E+02
1.681852198	4.81E+01	4.52E+02
1.69952299	5.01E+01	4.36E+02
1.740921768	5.51E+01	4.01E+02
1.778659637	6.01E+01	3.70E+02
1.813352557	6.51E+01	3.45E+02
1.845502864	7.01E+01	3.22E+02
1.875411061	7.51E+01	3.02E+02
1.903397559	8.01E+01	2.85E+02
1.929681389	8.51E+01	2.69E+02
1.954478624	9.00E+01	2.55E+02
1.977905343	9.50E+01	2.42E+02
2.000193297	1.00E+02	2.31E+02
2.04156087	1.10E+02	2.11E+02
2.079338711	1.20E+02	1.94E+02
2.114089893	1.30E+02	1.79E+02
2.14623945	1.40E+02	1.67E+02
2.176185219	1.50E+02	1.56E+02
2.204208243	1.60E+02	1.46E+02
2.230536097	1.70E+02	1.37E+02
2.255350656	1.80E+02	1.30E+02
2.278818308	1.90E+02	1.23E+02
2.301077867	2.00E+02	1.17E+02
2.322272604	2.10E+02	1.11E+02
2.342486403	2.20E+02	1.06E+02
2.361777261	2.30E+02	1.01E+02
2.380257449	2.40E+02	9.71E+01
2.397991973	2.50E+02	9.32E+01
2.414999988	2.60E+02	8.96E+01
2.431416422	2.70E+02	8.63E+01
2.447183975	2.80E+02	8.32E+01
2.462442075	2.90E+02	8.04E+01
2.477156535	3.00E+02	7.77E+01
2.491391496	3.10E+02	7.53E+01
2.498341929	3.15E+02	7.41E+01
2.505166328	3.20E+02	7.30E+01
2.513610092	3.26E+02	7.17E+01
2.520459455	3.31E+02	7.06E+01
